Date,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team
2019-03-23,한화,두산,서폴드,린드블럼,정근우 송광민 호잉 김태균 이성열 하주석 김민하 최재훈 정은원 ,허경민 정수빈 박건우 김재환 오재일 페르난데스 오재원 박세혁 김재호 ,4,5,1
2019-03-23,KT,SK,쿠에바스,김광현,황재균 박경수 강백호 로하스 유한준 윤석민 오승택 장성우 배정대 ,노수광 한유섬 최정 로맥 이재원 정의윤 김강민 최항 김성현 ,4,7,1
2019-03-23,LG,KIA,윌슨,양현종,이형종 오지환 김현수 조셉 채은성 박용택 양종민 유강남 정주현 ,김선빈 해즐베이커 안치홍 최형우 김주찬 이명기 나지완 한승택 최원준 ,2,0,0
2019-03-23,키움,롯데,브리검,레일리,서건창 김하성 박병호 샌즈 장영석 임병욱 허정협 김혜성 주효상 ,민병헌 손아섭 전준우 이대호 채태인 한동희 아수아헤 안중열 신본기 ,7,4,0
2019-03-23,삼성,NC,맥과이어,버틀러,박해민 구자욱 이원석 러프 김동엽 김헌곤 강민호 이학주 김상수 ,이상호 노진혁 박석민 베탄코트 양의지 모창민 권희동 지석훈 김성욱 ,0,7,1
2019-03-24,삼성,NC,백정현,루친스키,박해민 구자욱 이원석 러프 김동엽 김헌곤 강민호 이학주 김상수 ,이상호 노진혁 박석민 베탄코트 양의지 모창민 권희동 지석훈 김성욱 ,4,3,0
2019-03-24,키움,롯데,요키시,김원중,이정후 김하성 박병호 샌즈 서건창 장영석 임병욱 이지영 김혜성 ,민병헌 손아섭 전준우 이대호 채태인 한동희 아수아헤 나종덕 신본기 ,2,6,1
2019-03-24,LG,KIA,켈리,터너,이형종 오지환 김현수 조셉 채은성 박용택 양종민 유강남 정주현 ,김선빈 해즐베이커 안치홍 최형우 김주찬 이명기 나지완 한승택 최원준 ,9,3,0
2019-03-24,KT,SK,금민철,산체스,황재균 박경수 강백호 로하스 유한준 윤석민 오승택 장성우 김민혁 ,김강민 한유섬 최정 로맥 이재원 정의윤 강승호 김성현 노수광 ,3,6,1
2019-03-24,한화,두산,채드벨,이용찬,정근우 장진혁 송광민 호잉 김태균 이성열 최재훈 하주석 정은원 ,허경민 정수빈 박건우 김재환 오재일 페르난데스 오재원 박세혁 김재호 ,11,1,0
2019-03-26,KT,NC,이대은,이재학,김민혁 유한준 강백호 로하스 박경수 윤석민 황재균 장성우 오승택 ,이상호 권희동 박석민 베탄코트 양의지 모창민 노진혁 지석훈 김성욱 ,8,9,1
2019-03-26,삼성,롯데,헤일리,톰슨,박해민 김헌곤 구자욱 러프 김동엽 강민호 이학주 최영진 손주인 ,민병헌 손아섭 전준우 이대호 채태인 한동희 아수아헤 김준태 신본기 ,2,7,1
