Date,Team_1_Name,Team_1_Score,Team_2_Name,Team_2_Score
2019/3/23,Å°¿ò,7,·Ôµ¥,4
2019/3/23,KT,4,SK,7
2019/3/23,ÇÑÈ­,4,µÎ»ê,5
2019/3/23,»ï¼º,0,NC,7
2019/3/23,LG,2,KIA,0
2019/3/24,Å°¿ò,2,·Ôµ¥,6
2019/3/24,KT,3,SK,6
2019/3/24,ÇÑÈ­,11,µÎ»ê,1
2019/3/24,»ï¼º,4,NC,3
2019/3/24,LG,9,KIA,3
2019/3/26,»ï¼º,2,·Ôµ¥,7
2019/3/26,LG,6,SK,3
2019/3/26,Å°¿ò,2,µÎ»ê,7
2019/3/26,KT,8,NC,9
2019/3/26,ÇÑÈ­,13,KIA,7
2019/3/27,»ï¼º,23,·Ôµ¥,4
2019/3/27,LG,1,SK,2
2019/3/27,Å°¿ò,2,µÎ»ê,3
2019/3/27,KT,1,NC,4
2019/3/27,ÇÑÈ­,4,KIA,9
2019/3/28,»ï¼º,12,·Ôµ¥,7
2019/3/28,LG,1,SK,3
2019/3/28,Å°¿ò,5,µÎ»ê,4
2019/3/28,KT,2,NC,6
2019/3/28,ÇÑÈ­,4,KIA,6
2019/3/29,SK,5,Å°¿ò,2
2019/3/29,NC,0,ÇÑÈ­,9
2019/3/29,µÎ»ê,3,»ï¼º,2
2019/3/29,·Ôµ¥,1,LG,2
2019/3/29,KIA,3,KT,6
2019/3/30,SK,1,Å°¿ò,3
2019/3/30,NC,5,ÇÑÈ­,13
2019/3/30,µÎ»ê,4,»ï¼º,2
2019/3/30,·Ôµ¥,7,LG,1
2019/3/30,KIA,2,KT,6
2019/3/31,SK,8,Å°¿ò,7
2019/3/31,NC,6,ÇÑÈ­,3
2019/3/31,µÎ»ê,9,»ï¼º,4
2019/3/31,·Ôµ¥,5,LG,6
2019/3/31,KIA,4,KT,2
