순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
1,김하성,18넥SS,1.388,127,126,1103.2,623,206,404,13,.979,4.97,8.35,0.00,0.00,0.00,0.93,9.29,10.07,6.22,15.50,0.831,1.388
2,김성욱,18NCF,1.241,110,88,788.0,225,217,8,0,1.000,2.57,7.45,4.36,0.00,0.00,0.42,12.23,18.57,1.49,13.72,1.106,1.241
3,하주석,18한SS,1.133,141,132,1143.2,561,194,349,18,.968,4.27,5.93,0.00,0.00,0.00,0.07,6.00,6.28,6.48,12.48,0.545,1.133
4,김상수,18삼SS,1.112,120,120,989.0,467,164,287,16,.966,4.10,6.66,0.00,0.00,0.00,-0.02,6.64,8.04,5.60,12.24,0.603,1.112
5,양의지,18두C,0.965,118,108,861.2,755,702,50,3,.996,7.86,-0.14,0.00,1.80,0.19,0.72,2.58,3.58,8.42,11.00,0.226,0.965
6,오지환,18LSS,0.888,143,142,1198.2,644,211,409,24,.963,4.66,3.97,0.00,0.00,0.00,-0.95,3.02,3.02,6.87,9.90,0.271,0.888
7,김민식,18KC,0.825,120,100,844.0,763,708,51,4,.995,8.09,1.56,0.00,-1.24,0.30,0.50,1.12,1.59,8.02,9.14,0.101,0.825
8,최재훈,18한C,0.776,126,95,830.2,800,747,48,5,.994,8.61,-0.57,0.00,0.50,0.50,0.28,0.71,1.02,7.90,8.61,0.064,0.776
9,번즈,18롯2B,0.761,132,127,1073.0,640,258,360,22,.966,5.18,7.99,0.00,0.00,0.00,-1.54,6.45,7.19,2.06,8.50,0.577,0.761
10,강민호,18삼C,0.756,109,106,857.2,796,753,35,8,.990,8.27,-0.71,0.00,-0.20,1.43,-0.28,0.24,0.33,8.19,8.43,0.021,0.756
11,유강남,18LC,0.717,126,109,952.0,844,783,54,7,.992,7.91,-0.65,0.00,-0.21,-0.31,0.06,-1.11,-1.40,9.18,8.06,-0.099,0.717
12,정범모,18NC,0.697,103,78,619.2,569,526,39,4,.993,8.21,1.07,0.00,0.69,-0.08,0.15,1.83,3.53,5.85,7.67,0.166,0.697
13,허경민,18두3B,0.673,132,121,1048.1,319,87,225,7,.978,2.68,3.98,0.00,0.00,0.00,1.56,5.53,6.32,2.02,7.55,0.493,0.673
14,심우준,18KSS,0.671,129,104,921.0,500,184,303,13,.974,4.76,2.35,0.00,0.00,0.00,0.31,2.66,3.46,4.74,7.41,0.241,0.671
15,이재원,18SC,0.649,119,109,846.2,833,774,48,11,.987,8.74,0.49,0.00,-0.90,0.45,-0.90,-0.86,-1.22,8.19,7.33,-0.076,0.649
16,나주환,18SSS,0.566,118,98,885.0,453,178,262,13,.971,4.48,3.18,0.00,0.00,0.00,0.02,3.20,4.33,3.07,6.27,0.288,0.566
17,나균안,18롯C,0.563,104,62,548.1,571,537,30,4,.993,9.31,0.13,0.00,0.93,-0.09,0.04,1.02,2.22,5.15,6.16,0.093,0.563
18,한동민,18SRF,0.559,101,92,755.1,192,186,5,1,.995,2.28,8.00,2.39,0.00,0.00,0.26,10.66,16.89,-4.37,6.29,0.948,0.559
19,이명기,18KRF,0.556,120,113,969.1,238,230,6,2,.992,2.19,13.76,-2.32,0.00,0.00,0.24,11.68,14.42,-5.51,6.17,1.053,0.556
20,호잉,18한RF,0.544,137,137,1162.0,272,259,9,4,.985,2.08,8.58,3.85,0.00,0.00,-0.09,12.33,12.70,-6.22,6.11,1.099,0.544
21,김혜성,18넥2B,0.543,133,114,1023.0,621,229,376,16,.974,5.32,3.66,0.00,0.00,0.00,-0.36,3.30,3.86,2.72,6.02,0.297,0.543
22,박해민,18삼CF,0.509,142,134,1200.2,352,346,4,2,.994,2.62,3.50,-0.33,0.00,0.00,0.24,3.41,3.40,2.28,5.69,0.305,0.509
23,이범호,18K3B,0.494,100,94,751.0,222,74,144,4,.982,2.61,3.07,0.00,0.00,0.00,1.29,4.36,6.95,1.18,5.54,0.389,0.494
24,로하스,18KCF,0.485,138,139,1210.1,282,272,7,3,.989,2.08,-0.10,3.81,0.00,0.00,0.07,3.78,3.74,1.71,5.49,0.334,0.485
25,정수빈,18두CF,0.479,26,25,214.2,93,90,1,2,.979,3.82,5.84,-0.59,0.00,0.00,-0.29,4.97,27.69,0.41,5.38,0.443,0.479
26,장성우,18KC,0.468,121,107,896.2,802,744,49,9,.989,7.96,-1.51,0.00,-0.55,-0.86,-0.42,-3.34,-4.46,8.53,5.19,-0.301,0.468
27,이성우,18SC,0.465,88,31,362.2,334,316,18,0,1.000,8.29,0.22,0.00,0.34,0.63,0.56,1.75,5.76,3.40,5.15,0.158,0.465
28,강경학,18한2B,0.462,70,60,528.2,294,129,163,2,.993,4.97,3.08,0.00,0.00,0.00,1.02,4.10,9.28,1.06,5.16,0.368,0.462
29,최정,18S3B,0.436,109,104,902.2,260,65,184,11,.958,2.48,2.83,0.00,0.00,0.00,0.34,3.18,4.21,1.73,4.91,0.282,0.436
30,주효상,18넥C,0.430,78,43,366.2,318,290,26,2,.994,7.76,0.31,0.00,0.35,0.46,0.16,1.27,4.16,3.48,4.75,0.115,0.430
31,김성훈,18삼2B,0.420,103,40,499.0,248,106,138,4,.984,4.40,2.19,0.00,0.00,0.00,0.66,2.85,6.84,1.81,4.66,0.257,0.420
32,김재현,18넥C,0.413,116,69,625.0,555,525,26,4,.993,7.93,-1.83,0.00,-0.16,0.47,0.16,-1.36,-2.61,5.93,4.57,-0.123,0.413
33,손시헌,18NSS,0.397,66,49,391.1,211,83,125,3,.986,4.78,1.50,0.00,0.00,0.00,0.66,2.16,6.60,2.22,4.38,0.195,0.397
34,박기혁,18KSS,0.392,98,50,492.2,274,99,171,4,.985,4.93,1.32,0.00,0.00,0.00,0.71,2.03,4.92,2.29,4.32,0.184,0.392
35,한승택,18KC,0.384,59,29,254.2,264,236,27,1,.996,9.30,0.61,0.00,0.90,0.13,0.19,1.84,8.64,2.43,4.27,0.165,0.384
36,류지혁,18두SS,0.375,120,56,620.0,316,133,179,4,.987,4.53,1.10,0.00,0.00,0.00,1.02,2.12,4.10,2.05,4.17,0.191,0.375
37,박동원,18넥C,0.366,39,32,285.1,249,228,19,2,.992,7.79,0.15,0.00,0.95,0.21,0.04,1.35,5.66,2.71,4.06,0.122,0.366
38,조홍석,18롯CF,0.352,25,13,124.1,31,29,2,0,1.000,2.24,2.16,1.60,0.00,0.00,0.07,3.83,36.92,0.04,3.87,0.349,0.352
39,박세혁,18두C,0.345,83,36,421.1,321,295,24,2,.994,6.81,0.14,0.22,0.06,0.06,0.20,0.69,1.95,3.17,3.86,0.061,0.345
40,안중열,18롯C,0.329,59,55,446.2,403,373,25,5,.988,8.02,-0.10,0.00,-0.29,0.10,-0.31,-0.60,-1.60,4.25,3.66,-0.054,0.329
41,이지영,18삼C,0.326,73,36,389.1,391,366,21,4,.990,8.95,0.50,0.00,-0.95,0.56,-0.20,-0.09,-0.28,3.74,3.65,-0.008,0.326
42,정주현,18L2B,0.319,104,95,771.1,433,169,249,15,.965,4.88,3.07,-0.00,0.00,0.00,-0.96,2.11,3.28,1.43,3.55,0.190,0.319
43,이해창,18KC,0.313,71,36,351.2,310,277,31,2,.994,7.88,0.07,0.00,-0.07,-0.01,0.14,0.12,0.42,3.34,3.46,0.011,0.313
44,송성문,18넥2B,0.304,69,51,468.1,240,89,146,5,.979,4.52,2.32,0.00,0.00,0.00,0.27,2.59,6.62,0.82,3.41,0.231,0.304
45,나성범,18NRF,0.294,142,142,1220.0,300,288,9,3,.990,2.19,5.06,5.19,0.00,0.00,0.15,10.39,10.20,-7.08,3.32,0.922,0.294
46,황윤호,18KSS,0.286,76,9,205.1,105,34,68,3,.971,4.47,2.37,0.00,0.00,0.00,0.01,2.38,13.90,0.78,3.16,0.216,0.286
47,정상호,18LC,0.272,65,35,313.2,312,295,16,1,.997,8.92,0.11,0.00,-0.50,0.14,0.28,0.03,0.11,2.98,3.01,0.003,0.272
48,김재호,18두SS,0.262,129,114,939.0,452,154,286,12,.974,4.22,-3.11,0.00,0.00,0.00,0.62,-2.49,-3.17,5.45,2.96,-0.221,0.262
49,지성준,18한C,0.251,84,48,433.0,434,400,31,3,.993,8.96,-0.05,0.00,-0.27,-1.09,0.06,-1.34,-3.70,4.13,2.80,-0.120,0.251
50,노진혁,18N3B,0.251,123,107,913.2,371,99,257,15,.960,3.51,-0.37,0.00,0.00,0.00,-0.25,-0.62,-0.82,3.42,2.80,-0.056,0.251
51,김민하,18한LF,0.248,54,25,251.1,71,70,1,0,1.000,2.54,4.01,-0.49,0.00,0.00,0.18,3.70,17.60,-0.96,2.73,0.335,0.248
52,문규현,18롯SS,0.240,112,83,735.1,362,111,238,13,.964,4.27,-1.15,0.00,0.00,0.00,-0.25,-1.40,-2.28,4.06,2.66,-0.126,0.240
53,이종욱,18NLF,0.231,37,33,257.1,50,46,4,0,1.000,1.75,1.39,2.05,0.00,0.00,0.20,3.63,16.90,-1.12,2.52,0.333,0.231
54,김성현,18S2B,0.230,134,117,1021.2,530,194,319,17,.968,4.52,-0.26,0.00,0.00,0.00,-0.48,-0.74,-0.87,3.30,2.55,-0.067,0.230
55,양성우,18한LF,0.227,72,54,486.0,111,106,4,1,.991,2.04,3.01,2.06,0.00,0.00,0.19,5.26,12.96,-2.76,2.50,0.477,0.227
56,양석환,18L3B,0.227,137,131,1069.1,424,222,188,14,.967,3.45,2.64,0.00,0.00,0.00,-0.01,2.62,2.94,-0.10,2.52,0.236,0.227
57,박경수,18K2B,0.212,126,122,1016.0,678,283,381,14,.979,5.88,0.51,0.00,0.00,0.00,-0.09,0.42,0.49,1.95,2.37,0.037,0.212
58,윌슨,18LP,0.198,26,26,170.0,50,14,35,1,.980,2.59,2.02,0.00,0.00,0.08,0.10,2.20,15.50,0.00,2.20,0.198,0.198
59,이형종,18LCF,0.196,113,107,858.1,226,219,6,1,.996,2.36,1.81,-0.06,0.00,0.00,0.31,2.06,2.87,0.14,2.20,0.183,0.196
60,강한울,18삼2B,0.194,78,52,501.2,267,109,154,4,.985,4.72,0.65,0.00,0.00,0.00,0.54,1.19,2.83,0.96,2.15,0.107,0.194
61,최원태,18넥P,0.192,23,23,134.1,30,12,18,0,1.000,2.01,1.83,0.00,0.00,0.06,0.24,2.14,19.03,0.00,2.14,0.192,0.192
62,김찬형,18NSS,0.189,59,38,368.2,176,55,116,5,.972,4.18,0.23,0.00,0.00,0.00,0.14,0.37,1.19,1.72,2.09,0.033,0.189
63,이재학,18NP,0.177,29,29,152.1,34,10,24,0,1.000,2.01,1.62,0.00,0.00,0.07,0.27,1.97,15.45,0.00,1.97,0.177,0.177
64,오재원,18두2B,0.163,127,122,1026.0,622,297,308,17,.973,5.31,1.28,0.00,0.00,0.00,-0.73,0.55,0.65,1.28,1.84,0.049,0.163
65,이용규,18한CF,0.157,133,128,1069.2,271,260,5,6,.978,2.23,0.67,-0.33,0.00,0.00,-0.63,-0.29,-0.33,2.04,1.75,-0.026,0.157
66,김동한,18롯3B,0.152,41,18,193.0,70,20,47,3,.957,3.12,1.34,0.00,0.00,0.00,-0.06,1.28,7.96,0.39,1.67,0.116,0.152
67,김형준,18NC,0.149,60,25,254.2,237,215,17,5,.979,8.20,0.74,0.00,0.24,-1.13,-0.61,-0.77,-3.61,2.41,1.65,-0.069,0.149
68,임병욱,18넥CF,0.149,126,97,911.2,234,227,2,5,.979,2.26,1.45,-1.02,0.00,0.00,-0.51,-0.08,-0.11,1.75,1.66,-0.008,0.149
69,유희관,18두P,0.149,29,28,141.0,28,4,24,0,1.000,1.79,1.34,0.00,0.00,0.07,0.25,1.66,14.07,0.00,1.66,0.149,0.149
70,백정현,18삼P,0.143,25,23,125.2,24,3,21,0,1.000,1.72,1.30,0.00,0.00,0.06,0.22,1.59,15.12,0.00,1.59,0.143,0.143
71,박성한,18SSS,0.140,38,13,157.2,90,26,58,6,.933,4.80,1.35,0.00,0.00,0.00,-0.69,0.65,4.94,0.89,1.54,0.059,0.140
72,도태훈,18N2B,0.140,22,7,87.0,53,23,29,1,.981,5.38,1.33,0.00,0.00,0.00,0.04,1.37,18.90,0.17,1.55,0.124,0.140
73,전병우,18롯3B,0.131,24,15,158.0,59,26,32,1,.983,3.30,0.84,0.00,0.00,0.00,0.25,1.09,8.23,0.40,1.49,0.096,0.131
74,양창섭,18삼P,0.130,19,17,87.1,13,3,10,0,1.000,1.34,1.25,0.00,0.00,0.04,0.16,1.44,19.77,0.00,1.44,0.130,0.130
75,김민성,18넥3B,0.128,110,106,908.2,247,73,167,7,.972,2.38,-1.47,0.00,0.00,0.00,1.16,-0.31,-0.41,1.74,1.43,-0.028,0.128
76,김광현,18SP,0.125,25,25,136.0,24,6,16,2,.917,1.46,1.49,0.00,0.00,0.06,-0.16,1.39,12.27,0.00,1.39,0.125,0.125
77,홍현빈,18KLF,0.123,13,3,42.0,8,8,0,0,1.000,1.71,1.36,0.17,0.00,0.00,0.03,1.57,44.79,-0.22,1.36,0.142,0.123
78,후랭코프,18두P,0.122,28,28,149.1,22,7,15,0,1.000,1.33,1.02,0.00,0.00,0.07,0.27,1.36,10.89,0.00,1.36,0.122,0.122
79,박준혁,18한RF,0.121,3,1,10.0,4,3,1,0,1.000,3.60,0.58,0.78,0.00,0.00,0.01,1.37,163.97,-0.06,1.31,0.126,0.121
80,켈리,18SP,0.120,28,28,158.1,20,7,12,1,.950,1.08,1.18,0.00,0.00,0.07,0.08,1.34,10.10,0.00,1.34,0.120,0.120
81,박용택,18LLF,0.118,5,5,33.0,8,8,0,0,1.000,2.18,1.61,-0.12,0.00,0.00,0.03,1.52,55.04,-0.19,1.33,0.135,0.118
82,박종훈,18SP,0.117,30,30,159.1,35,7,26,2,.943,1.86,1.35,0.00,0.00,0.08,-0.12,1.31,9.83,0.00,1.31,0.117,0.117
83,김현수,18LLF,0.113,116,116,971.0,560,515,40,5,.991,5.14,8.54,0.03,0.00,0.00,0.15,8.72,10.75,-7.44,1.28,0.767,0.113
84,윤여운,18NC,0.111,44,27,214.1,188,172,14,2,.989,7.81,0.17,0.00,0.15,-1.05,-0.07,-0.81,-4.50,2.04,1.23,-0.073,0.111
85,박석민,18N3B,0.106,26,24,189.0,53,8,41,4,.925,2.33,1.09,0.00,0.00,0.00,-0.27,0.82,5.22,0.36,1.19,0.074,0.106
86,오현택,18롯P,0.105,72,0,64.2,16,4,12,0,1.000,2.23,1.03,0.00,0.00,0.03,0.12,1.17,21.68,0.00,1.17,0.105,0.105
87,이창진,18KLF,0.103,16,6,69.2,20,20,0,0,1.000,2.58,1.96,-0.48,0.00,0.00,0.05,1.54,26.41,-0.40,1.14,0.138,0.103
88,하준호,18KLF,0.100,15,6,60.0,19,17,2,0,1.000,2.85,0.31,1.06,0.00,0.00,0.04,1.41,28.21,-0.32,1.09,0.130,0.100
89,이원석,18삼3B,0.095,122,122,1012.2,311,123,179,9,.971,2.68,-1.33,0.00,0.00,0.00,1.00,-0.34,-0.40,1.41,1.07,-0.030,0.095
90,샘슨,18한P,0.095,30,29,161.2,35,16,18,1,.971,1.89,0.89,0.00,0.00,0.08,0.09,1.06,7.82,0.00,1.06,0.095,0.095
91,린드블럼,18두P,0.094,26,26,168.2,15,7,8,0,1.000,0.80,0.67,0.00,0.00,0.08,0.30,1.05,7.48,0.00,1.05,0.094,0.094
92,정경운,18한2B,0.092,19,2,47.2,26,12,14,0,1.000,4.91,0.84,0.00,0.00,0.00,0.13,0.97,24.31,0.05,1.02,0.088,0.092
93,임기영,18KP,0.091,29,19,105.0,25,6,19,0,1.000,2.14,0.78,0.00,0.00,0.05,0.19,1.01,11.56,0.00,1.01,0.091,0.091
94,아델만,18삼P,0.089,31,31,171.0,40,11,28,1,.975,2.05,0.81,0.00,0.00,0.08,0.11,1.00,6.98,0.00,1.00,0.089,0.089
95,노경은,18롯P,0.087,33,19,132.1,25,10,15,0,1.000,1.70,0.68,0.00,0.00,0.06,0.24,0.98,8.84,0.00,0.98,0.087,0.087
96,강상원,18한RF,0.087,6,2,23.0,13,13,0,0,1.000,5.09,1.57,-0.54,0.00,0.00,0.02,1.05,54.42,-0.10,0.95,0.096,0.087
97,조동찬,18삼1B,0.086,16,8,79.0,72,63,9,0,1.000,8.20,1.42,0.00,0.00,0.00,0.14,1.56,23.61,-0.61,0.95,0.141,0.086
98,윤병호,18NCF,0.086,14,9,86.1,24,21,2,1,.958,2.40,0.39,0.82,0.00,0.00,-0.14,1.07,14.87,-0.14,0.94,0.098,0.086
99,안익훈,18LCF,0.083,58,25,274.0,60,59,1,0,1.000,1.97,0.55,-0.30,0.00,0.00,0.15,0.40,1.74,0.52,0.91,0.036,0.083
100,이영욱,18KCF,0.081,11,3,41.0,14,14,0,0,1.000,3.07,1.05,-0.21,0.00,0.00,0.02,0.87,25.48,0.01,0.88,0.080,0.081
101,이동훈,18한LF,0.080,20,12,119.0,32,30,2,0,1.000,2.42,0.33,0.78,0.00,0.00,0.08,1.20,12.07,-0.31,0.89,0.109,0.080
102,윤진호,18L3B,0.080,101,2,241.2,104,41,61,2,.981,3.80,-0.06,0.00,0.00,0.00,0.29,0.23,1.14,0.66,0.89,0.021,0.080
103,주권,18KP,0.079,46,10,88.0,17,6,11,0,1.000,1.74,0.82,0.00,-0.14,0.04,0.16,0.88,11.93,0.00,0.88,0.079,0.079
104,박대온,18NC,0.078,23,6,88.1,76,69,6,1,.987,7.64,0.13,0.00,0.21,-0.25,-0.06,0.03,0.39,0.84,0.87,0.003,0.078
105,이승호,18넥P,0.078,32,4,45.0,7,4,3,0,1.000,1.40,0.45,0.00,0.32,0.02,0.08,0.87,23.14,0.00,0.87,0.078,0.078
106,윤정우,18SLF,0.077,17,8,70.0,16,15,0,1,.938,1.93,1.64,-0.24,0.00,0.00,-0.15,1.25,21.41,-0.40,0.85,0.113,0.077
107,고영표,18KP,0.077,25,23,142.0,30,8,22,0,1.000,1.90,0.53,0.00,0.00,0.07,0.25,0.85,7.20,0.00,0.85,0.077,0.077
108,진명호,18롯P,0.075,60,0,61.2,13,3,9,1,.923,1.75,0.90,0.00,0.00,0.03,-0.09,0.84,16.30,0.00,0.84,0.075,0.075
109,나지완,18KLF,0.074,25,4,58.2,18,18,0,0,1.000,2.76,1.36,-0.23,0.00,0.00,0.04,1.18,23.99,-0.34,0.83,0.104,0.074
110,레일리,18롯P,0.072,30,30,178.1,54,15,36,3,.944,2.57,1.01,0.00,0.00,0.08,-0.28,0.81,5.43,0.00,0.81,0.072,0.072
111,김회성,18한3B,0.067,57,22,244.2,124,87,37,0,1.000,4.56,0.75,0.00,0.00,0.00,0.58,1.33,6.48,-0.58,0.75,0.119,0.067
112,한승혁,18KP,0.066,21,19,88.0,15,3,12,0,1.000,1.53,0.54,0.00,0.00,0.04,0.16,0.74,10.08,0.00,0.74,0.066,0.066
