순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
1,김재환,17두LF,7.46,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,.340,.429,.603,1.032,.440,170.9,7.46,7.45
2,박건우,17두CF,7.01,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,.366,.424,.582,1.006,.433,163.8,7.01,2.76
3,최형우,17KLF,6.66,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,.342,.450,.576,1.026,.442,163.5,6.66,5.45
4,최정,17S3B,6.56,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,.316,.427,.684,1.111,.456,167.6,6.56,5.00
5,나성범,17NRF,5.78,125,561,498,103,173,42,2,24,291,99,17,7,48,12,10,116,8,0,3,.347,.415,.584,1.000,.428,154.3,5.78,4.64
6,손아섭,17롯RF,5.73,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,.335,.420,.514,.934,.410,140.0,5.73,4.79
7,로사리오,17한1B,5.20,119,510,445,100,151,30,1,37,294,111,10,5,50,10,4,61,12,0,5,.339,.414,.661,1.074,.450,165.3,5.20,3.91
8,버나디나,17KCF,5.12,139,621,557,118,178,26,8,27,301,111,32,7,41,11,2,112,9,3,9,.320,.372,.540,.913,.390,128.4,5.12,3.83
9,김선빈,17KSS,4.96,137,529,476,84,176,34,1,5,227,64,4,4,39,5,4,40,10,5,4,.370,.420,.477,.897,.399,134.0,4.96,1.92
10,구자욱,17삼RF,4.96,144,647,564,108,175,39,10,21,297,107,10,4,63,10,1,138,1,0,10,.310,.383,.527,.910,.394,130.6,4.96,3.11
11,김하성,17넥SS,4.91,141,601,526,90,159,36,3,23,270,114,16,8,58,8,2,65,8,2,7,.302,.376,.513,.889,.385,125.4,4.91,3.21
12,박민우,17N2B,4.71,106,452,388,84,141,25,4,3,183,47,11,1,46,11,0,51,8,3,4,.363,.441,.472,.913,.412,145.5,4.71,4.03
13,안치홍,17K2B,4.39,132,545,487,95,154,29,2,21,250,93,7,0,43,4,1,70,19,6,5,.316,.373,.513,.886,.382,123.0,4.39,3.80
14,스크럭스,17N1B,4.26,115,518,437,91,131,24,0,35,260,111,4,0,65,12,2,134,9,0,4,.300,.402,.595,.997,.423,150.2,4.26,4.78
15,서건창,17넥2B,4.20,139,615,539,87,179,28,3,6,231,76,15,6,67,1,1,68,11,2,6,.332,.403,.429,.832,.378,118.2,4.20,3.38
16,러프,17삼1B,3.92,134,591,515,90,162,38,0,31,293,124,2,2,60,12,4,107,14,0,4,.315,.396,.569,.965,.414,142.6,3.92,4.11
17,오재일,17두1B,3.88,128,466,412,62,126,27,0,26,231,89,1,1,45,5,0,80,5,1,3,.306,.379,.561,.939,.403,146.4,3.88,2.67
18,한동민,17SRF,3.73,103,414,350,64,103,21,2,29,215,73,2,2,46,15,2,79,8,0,3,.294,.396,.614,1.010,.426,149.7,3.73,2.95
19,박용택,17LDH,3.73,138,596,509,83,175,23,2,14,244,90,4,2,72,6,6,88,13,0,9,.344,.425,.479,.904,.402,140.1,3.73,5.62
