,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률
0,김재환,0.34,0.064338235,0.226102941,0.012867647,0.202205882,0.211397059,0.34845735,0.8
1,박건우,0.366,0.041407867,0.132505176,0.020703934,0.188405797,0.161490683,0.375502008,0.869565217
2,최형우,0.342,0.050583658,0.159533074,0.021400778,0.190661479,0.233463035,0.356190476,0
3,최정,0.316,0.106976744,0.248837209,0.044186047,0.206976744,0.262790698,0.345211581,0.166666667
4,나성범,0.347,0.048192771,0.232931727,0.024096386,0.206827309,0.198795181,0.362745098,0.708333333
5,손아섭,0.335,0.034722222,0.166666667,0.006944444,0.196180556,0.138888889,0.339070568,0.757575758
6,로사리오,0.339,0.083146067,0.137078652,0.02247191,0.224719101,0.249438202,0.353846154,0.666666667
7,버나디나,0.32,0.048473968,0.201077199,0.019748654,0.211849192,0.199281867,0.330998249,0.820512821
8,김선빈,0.37,0.010504202,0.084033613,0.010504202,0.176470588,0.134453782,0.372427984,0.5
9,구자욱,0.31,0.037234043,0.244680851,0.017730496,0.191489362,0.189716312,0.322299652,0.714285714
10,김하성,0.302,0.043726236,0.123574144,0.015209125,0.171102662,0.216730038,0.311567164,0.666666667
11,박민우,0.363,0.007731959,0.131443299,0.028350515,0.216494845,0.121134021,0.378109453,0.916666667
12,안치홍,0.316,0.04312115,0.143737166,0.008213552,0.195071869,0.190965092,0.317907445,1
13,스크럭스,0.3,0.080091533,0.306636156,0.027459954,0.208237986,0.254004577,0.318485523,1
14,서건창,0.332,0.011131725,0.126159555,0.001855288,0.161410019,0.141001855,0.332103321,0.714285714
15,러프,0.315,0.060194175,0.20776699,0.023300971,0.174757282,0.240776699,0.330170778,0.5
16,오재일,0.306,0.063106796,0.194174757,0.012135922,0.150485437,0.216019417,0.313397129,0.5
17,한동민,0.294,0.082857143,0.225714286,0.042857143,0.182857143,0.208571429,0.323287671,0.5
18,박용택,0.344,0.027504912,0.172888016,0.011787819,0.163064833,0.176817289,0.351456311,0.666666667
19,이대호,0.32,0.062962963,0.155555556,0.027777778,0.135185185,0.205555556,0.338738739,0.5
20,이정후,0.324,0.003623188,0.121376812,0.010869565,0.201086957,0.085144928,0.330357143,0.75
21,나지완,0.301,0.058823529,0.22875817,0.050108932,0.185185185,0.204793028,0.334024896,0.5
22,강민호,0.285,0.048245614,0.228070175,0.032894737,0.135964912,0.149122807,0.307855626,0
23,민병헌,0.304,0.031319911,0.165548098,0.042505593,0.163310962,0.158836689,0.331905782,0.428571429
24,전준우,0.321,0.03956044,0.153846154,0.015384615,0.167032967,0.151648352,0.329741379,0.333333333
25,에반스,0.296,0.052529183,0.221789883,0.005836576,0.159533074,0.175097276,0.299806576,1
26,정근우,0.33,0.028132992,0.122762148,0.025575448,0.186700767,0.117647059,0.342364532,0.5
27,양의지,0.277,0.040345821,0.152737752,0.034582133,0.135446686,0.193083573,0.3,0.5
28,이범호,0.272,0.065445026,0.212041885,0.018324607,0.14921466,0.232984293,0.285347044,0
29,송광민,0.327,0.029748284,0.201372998,0.006864989,0.162471396,0.171624714,0.328828829,0.4
30,번즈,0.303,0.035460993,0.236406619,0.026004728,0.1678487,0.134751773,0.318807339,0.588235294
31,유강남,0.278,0.052469136,0.222222222,0.046296296,0.132716049,0.203703704,0.301724138,1
32,손시헌,0.35,0.014326648,0.126074499,0.022922636,0.091690544,0.128939828,0.351351351,1
33,김태균,0.34,0.047752809,0.157303371,0.011235955,0.143258427,0.213483146,0.347222222,0
34,최주환,0.301,0.01754386,0.145363409,0.022556391,0.162907268,0.142857143,0.315403423,0.6
35,로하스,0.301,0.053571429,0.241071429,0.014880952,0.154761905,0.166666667,0.31085044,0.384615385
36,권희동,0.286,0.040254237,0.190677966,0.036016949,0.152542373,0.18220339,0.306451613,0.5
37,김주찬,0.309,0.027272727,0.134090909,0.009090909,0.177272727,0.159090909,0.313901345,0.818181818
38,이명기,0.332,0.019396552,0.122844828,0.006465517,0.170258621,0.135775862,0.326403326,0.533333333
39,김민성,0.282,0.031779661,0.197033898,0.014830508,0.125,0.165254237,0.292275574,0
40,박해민,0.284,0.012280702,0.136842105,0.001754386,0.168421053,0.094736842,0.281519862,0.769230769
41,김재호,0.293,0.024734982,0.183745583,0.010600707,0.120141343,0.176678445,0.298611111,0.875
42,이성열,0.307,0.075,0.285714286,0.032142857,0.146428571,0.232142857,0.324232082,1
43,오지환,0.272,0.023952096,0.314371257,0.01497006,0.140718563,0.116766467,0.282352941,0.666666667
44,초이스,0.307,0.096590909,0.278409091,0.039772727,0.210227273,0.238636364,0.333333333,0
45,윤석민,0.312,0.037174721,0.157992565,0.014869888,0.167286245,0.195167286,0.322344322,0
46,나주환,0.291,0.045346062,0.202863962,0.011933174,0.164677804,0.155131265,0.293981481,0
47,로맥,0.242,0.086350975,0.323119777,0.016713092,0.161559889,0.178272981,0.254794521,0.5
48,모창민,0.312,0.035864979,0.170886076,0.004219409,0.135021097,0.189873418,0.313152401,0.6
49,정현,0.3,0.017142857,0.2,0.062857143,0.128571429,0.12,0.335978836,0.666666667
50,채태인,0.322,0.035087719,0.274853801,0.014619883,0.134502924,0.18128655,0.331412104,0
51,고종욱,0.312,0.018779343,0.215962441,0.007042254,0.164319249,0.126760563,0.317016317,0.8
52,유한준,0.306,0.029213483,0.13258427,0.004494382,0.116853933,0.152808989,0.307349666,0
53,박석민,0.245,0.043887147,0.288401254,0.040752351,0.134796238,0.175548589,0.274096386,0.333333333
54,박경수,0.262,0.033936652,0.266968326,0.013574661,0.140271493,0.149321267,0.270509978,0.333333333
55,최진행,0.306,0.050387597,0.298449612,0.03875969,0.112403101,0.19379845,0.330855019,0
56,이종욱,0.308,0.01572327,0.094339623,0.01572327,0.163522013,0.106918239,0.316923077,0.818181818
57,정성훈,0.312,0.02173913,0.177536232,0.02173913,0.115942029,0.108695652,0.325088339,0.571428571
58,하주석,0.285,0.025462963,0.19212963,0.011574074,0.159722222,0.12037037,0.286995516,0.538461538
59,이원석,0.265,0.04379562,0.194647202,0.00973236,0.133819951,0.150851582,0.269689737,1
60,김동엽,0.277,0.055979644,0.157760814,0.022900763,0.147582697,0.178117048,0.293532338,0.333333333
61,이형종,0.265,0.023872679,0.193633952,0.029177719,0.151193634,0.116710875,0.283163265,0.647058824
62,조동찬,0.289,0.028328612,0.203966006,0.028328612,0.099150142,0.130311615,0.305177112,1
63,정의윤,0.321,0.042979943,0.1747851,0.025787966,0.126074499,0.128939828,0.337988827,0
64,장영석,0.269,0.064516129,0.268817204,0.048387097,0.161290323,0.204301075,0.302564103,0
65,노수광,0.285,0.015706806,0.219895288,0.023560209,0.188481675,0.102094241,0.298734177,0.64
66,박세혁,0.284,0.024875622,0.218905473,0.024875622,0.2039801,0.129353234,0.289719626,0.666666667
67,이승엽,0.28,0.050847458,0.180084746,0.012711864,0.137711864,0.184322034,0.288702929,0.5
68,양석환,0.263,0.031460674,0.208988764,0.013483146,0.139325843,0.186516854,0.271523179,0.3
69,백창수,0.327,0.03960396,0.178217822,0.03960396,0.148514851,0.178217822,0.342592593,1
70,오정복,0.354,0.01025641,0.123076923,0.025641026,0.123076923,0.082051282,0.36453202,0
71,강한울,0.303,0,0.138349515,0,0.140776699,0.058252427,0.296912114,0.631578947
72,박동원,0.27,0.04296875,0.21875,0.01171875,0.12890625,0.15234375,0.271698113,0.666666667
73,배영섭,0.303,0.027522936,0.201834862,0.013761468,0.178899083,0.119266055,0.308035714,1
74,이해창,0.272,0.043307087,0.196850394,0.003937008,0.12992126,0.173228346,0.268199234,0.2
75,오선진,0.31,0.010869565,0.119565217,0.02173913,0.125,0.114130435,0.317708333,0.375
76,안익훈,0.32,0.00456621,0.127853881,0.01826484,0.173515982,0.073059361,0.324561404,0.6
77,김성훈,0.318,0,0.105960265,0.006622517,0.178807947,0.119205298,0.320261438,0.666666667
78,히메네스,0.276,0.038674033,0.104972376,0.016574586,0.160220994,0.165745856,0.288043478,0.375
79,최준석,0.291,0.034229829,0.217603912,0.002444988,0.105134474,0.200488998,0.292682927,0
80,이천웅,0.284,0.00862069,0.193965517,0.025862069,0.150862069,0.11637931,0.297520661,0.727272727
81,손주인,0.279,0.017006803,0.139455782,0.017006803,0.163265306,0.112244898,0.282467532,1
82,김문호,0.292,0.005128205,0.187179487,0.033333333,0.125641026,0.08974359,0.309756098,0.692307692
83,심우준,0.287,0.013986014,0.202797203,0.013986014,0.132867133,0.090909091,0.292517007,0.782608696
84,이상호,0.335,0,0.066079295,0.008810573,0.145374449,0.066079295,0.333333333,0.857142857
85,정진호,0.283,0.025252525,0.161616162,0.005050505,0.217171717,0.156565657,0.280788177,0.5
86,김태군,0.265,0.008287293,0.11878453,0.060773481,0.091160221,0.093922652,0.293532338,0
87,황진수,0.291,0.008547009,0.324786325,0.025641026,0.153846154,0.136752137,0.303278689,1
88,이호준,0.299,0.042682927,0.25,0.006097561,0.079268293,0.219512195,0.301204819,1
89,김재율,0.304,0.033149171,0.193370166,0.011049724,0.116022099,0.154696133,0.304812834,0
90,양성우,0.277,0.005586592,0.142458101,0.033519553,0.117318436,0.111731844,0.294429708,0.5
91,김태완,0.311,0.044444444,0.266666667,0.011111111,0.155555556,0.077777778,0.318681319,0
92,박정권,0.256,0.052459016,0.255737705,0.016393443,0.121311475,0.167213115,0.267741935,0.5
93,서동욱,0.282,0.021943574,0.269592476,0.009404389,0.153605016,0.150470219,0.281818182,0.5
94,오태곤,0.283,0.024064171,0.248663102,0.016042781,0.14171123,0.112299465,0.288659794,0.625
95,김성욱,0.247,0.019480519,0.191558442,0.029220779,0.194805195,0.100649351,0.267295597,0.714285714
96,정훈,0.248,0.009174312,0.256880734,0.04587156,0.146788991,0.055045872,0.273504274,0.75
97,최원준,0.308,0.019230769,0.128205128,0.012820513,0.173076923,0.173076923,0.310559006,0.6
98,김헌곤,0.264,0.025280899,0.126404494,0.02247191,0.143258427,0.132022472,0.274193548,0.846153846
99,허정협,0.237,0.039473684,0.320175439,0.052631579,0.153508772,0.171052632,0.273858921,0.333333333
100,오재원,0.237,0.020958084,0.254491018,0.005988024,0.128742515,0.119760479,0.238235294,0.5
101,김성현,0.271,0.010526316,0.073684211,0.010526316,0.118421053,0.076315789,0.273657289,0.666666667
102,김원석,0.277,0.035897436,0.302564103,0.025641026,0.148717949,0.133333333,0.292079208,0
103,최경철,0.313,0.0625,0.3125,0.09375,0.15625,0.21875,0.371428571,0
104,이택근,0.278,0.012448133,0.2406639,0.004149378,0.112033195,0.12033195,0.279835391,0
105,류지혁,0.259,0.01010101,0.185185185,0.013468013,0.202020202,0.087542088,0.262135922,0.583333333
106,조용호,0.272,0,0.204188482,0.015706806,0.178010471,0.052356021,0.275,0.846153846
107,김호령,0.267,0.011111111,0.255555556,0.022222222,0.344444444,0.122222222,0.273684211,0.6
108,박헌도,0.257,0.03539823,0.238938053,0.026548673,0.168141593,0.115044248,0.275862069,0
109,허경민,0.257,0.008130081,0.130081301,0.027100271,0.135501355,0.108401084,0.268542199,0.666666667
110,최재훈,0.257,0.003717472,0.133828996,0.029739777,0.081784387,0.059479554,0.272084806,0
111,지석훈,0.239,0.02238806,0.25,0.037313433,0.108208955,0.089552239,0.264285714,1
112,로니,0.278,0.037974684,0.17721519,0.012658228,0.088607595,0.151898734,0.2875,0
113,장성우,0.231,0.027210884,0.200680272,0.006802721,0.095238095,0.156462585,0.233333333,0
114,이용규,0.263,0,0.111731844,0.011173184,0.173184358,0.067039106,0.269230769,0.769230769
115,최항,0.321,0.009433962,0.273584906,0.028301887,0.132075472,0.150943396,0.333333333,0
116,이재원,0.242,0.02866242,0.175159236,0.025477707,0.101910828,0.133757962,0.254545455,0
117,김경언,0.248,0.047619048,0.257142857,0.00952381,0.161904762,0.161904762,0.254716981,1
118,이성우,0.279,0.009009009,0.153153153,0.009009009,0.054054054,0.126126126,0.268907563,0
119,정상호,0.263,0.02189781,0.233576642,0.03649635,0.116788321,0.124087591,0.280821918,0
120,박한이,0.263,0.033898305,0.279661017,0,0.118644068,0.118644068,0.258333333,0
121,권정웅,0.212,0.060606061,0.313131313,0.01010101,0.111111111,0.111111111,0.211538462,0
122,강진성,0.296,0.037037037,0.148148148,0.037037037,0.185185185,0.185185185,0.321428571,0
123,김용의,0.268,0,0.298780488,0,0.103658537,0.048780488,0.258823529,0.692307692
124,김회성,0.235,0.035294118,0.282352941,0.023529412,0.117647059,0.152941176,0.25,0
125,이대수,0.276,0,0.19047619,0.019047619,0.171428571,0.038095238,0.271929825,1
126,이우민,0.254,0.021621622,0.205405405,0.054054054,0.189189189,0.113513514,0.285,0.333333333
