,이름,타율,타수대비홈런,타수대비삼진,타수대비사구,타수대비득점,타수대비타점,출루율,도루성공률,선수OPS,선수WAR
0,로하스,0.349,0.08487084870848709,0.23985239852398524,0.00922509225092251,0.21033210332103322,0.24354243542435425,0.3546617915904936,0.0,1.095,7.62
1,김하성,0.307,0.05523809523809524,0.1295238095238095,0.015238095238095238,0.20952380952380953,0.2,0.31588785046728973,0.92,0.92,6.81
2,양의지,0.332,0.07252747252747253,0.1010989010989011,0.03076923076923077,0.189010989010989,0.2725274725274725,0.35106382978723405,0.7142857142857143,1.016,6.09
3,터커,0.306,0.05904059040590406,0.12361623616236163,0.016605166051660517,0.18450184501845018,0.20848708487084872,0.3176043557168784,0.0,0.955,5.71
4,최형우,0.354,0.05363984674329502,0.19348659003831417,0.009578544061302681,0.1781609195402299,0.22030651340996169,0.3605313092979127,0.0,1.023,5.71
5,이정후,0.33399999999999996,0.027985074626865673,0.08768656716417911,0.007462686567164179,0.15671641791044777,0.1865671641791045,0.3376383763837638,0.8571428571428571,0.925,5.68
6,김현수,0.331,0.040892193308550186,0.09851301115241635,0.0037174721189591076,0.18029739776951673,0.2174721189591078,0.3333333333333333,0.0,0.9229999999999999,5.24
7,황재균,0.31,0.03925233644859813,0.18317757009345795,0.007476635514018692,0.19626168224299065,0.17757009345794392,0.3142329020332717,0.6470588235294118,0.879,5.06
8,나성범,0.324,0.06358381502890173,0.2832369942196532,0.017341040462427744,0.21965317919075145,0.20616570327552985,0.3352272727272727,0.75,0.98,4.94
9,손아섭,0.35200000000000004,0.020370370370370372,0.1037037037037037,0.003703703703703704,0.1814814814814815,0.1574074074074074,0.35359116022099446,1.0,0.907,4.93
10,최정,0.268,0.07207207207207207,0.21846846846846846,0.04279279279279279,0.20045045045045046,0.20945945945945946,0.2980561555075594,0.7272727272727273,0.925,4.77
11,강백호,0.32899999999999996,0.046747967479674794,0.18699186991869918,0.01016260162601626,0.18699186991869918,0.17886178861788618,0.33601609657947684,0.7777777777777778,0.9570000000000001,4.69
12,박민우,0.34700000000000003,0.01735357917570499,0.10412147505422993,0.03253796095444685,0.175704989154013,0.13449023861171366,0.36610878661087864,0.6842105263157895,0.884,4.48
13,김재환,0.262,0.05719921104536489,0.2978303747534517,0.0019723865877712033,0.15779092702169625,0.21499013806706113,0.2637795275590551,1.0,0.857,4.44
14,페르난데스,0.341,0.03633217993079585,0.0726643598615917,0.02249134948096886,0.17647058823529413,0.17993079584775087,0.3553299492385787,0.0,0.904,4.39
15,라모스,0.27699999999999997,0.08983451536643026,0.3144208037825059,0.009456264775413711,0.17494089834515367,0.19858156028368795,0.28337236533957844,1.0,0.9590000000000001,4.35
16,오지환,0.3,0.019230769230769232,0.2173076923076923,0.01730769230769231,0.18076923076923077,0.13653846153846153,0.3089887640449438,0.7142857142857143,0.821,4.33
17,로맥,0.281,0.06708595387840671,0.2389937106918239,0.012578616352201259,0.1761006289308176,0.18448637316561844,0.2898550724637681,0.6666666666666666,0.948,4.32
18,알테어,0.27699999999999997,0.06289308176100629,0.3081761006289308,0.025157232704402517,0.18658280922431866,0.22431865828092243,0.294478527607362,0.88,0.888,4.26
19,최주환,0.304,0.032,0.132,0.012,0.124,0.17,0.3116370808678501,0.5,0.838,3.97
