순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,린드블럼,18두,6.83,26,0,0,26,15,4,0,0,168.2,56,54,681,142,33,2,16,38,0,8,157,0,10,2.88,4.02,1.07,175.4,125.2,6.83,2.06
2,윌슨,18L,6.33,26,1,1,26,9,4,0,0,170.0,63,58,689,158,23,3,11,35,1,6,149,1,10,3.07,3.63,1.14,164.3,139.4,6.33,2.72
3,브리검,18넥,5.80,31,2,1,30,11,7,0,1,199.0,89,85,829,188,28,3,19,50,0,19,175,0,4,3.84,4.36,1.20,134.1,117.4,5.80,0.20
4,김광현,18S,5.28,25,0,0,25,11,8,0,0,136.0,48,45,554,125,16,2,16,30,0,2,130,0,3,2.98,4.16,1.14,176.5,127.4,5.28,1.91
5,양현종,18K,5.23,29,3,0,29,13,11,0,0,184.1,88,85,772,199,33,0,21,43,1,2,152,0,5,4.15,4.38,1.31,123.7,117.9,5.23,-1.06
6,소사,18L,4.97,27,1,1,27,9,9,0,0,181.1,83,71,760,192,44,1,16,28,1,4,181,0,6,3.52,3.50,1.21,143.2,143.3,4.97,0.16
7,니퍼트,18K,4.76,29,0,0,28,8,8,0,0,175.2,88,83,765,209,33,4,26,39,2,9,165,0,9,4.25,4.66,1.41,124.6,111.4,4.76,-0.06
8,후랭코프,18두,4.13,28,0,0,28,18,3,0,0,149.1,64,62,621,118,17,1,12,55,1,22,134,0,15,3.74,4.61,1.16,135.3,110.0,4.13,1.18
9,이용찬,18두,3.93,25,1,0,24,15,3,0,0,144.0,62,58,608,151,24,1,14,36,2,8,102,0,6,3.63,4.56,1.30,139.4,110.8,3.93,0.45
10,켈리,18S,3.90,28,0,0,28,12,7,0,0,158.1,78,72,674,152,28,3,18,47,1,13,161,2,5,4.09,4.40,1.26,128.5,120.4,3.90,-0.45
11,피어밴드,18K,3.79,27,1,0,26,8,8,0,0,163.1,90,78,707,186,27,1,24,38,0,6,141,0,5,4.30,4.83,1.37,123.3,107.7,3.79,-1.28
12,최원태,18넥,3.68,23,1,0,23,13,7,0,0,134.1,62,59,577,144,28,0,8,35,0,11,101,0,3,3.95,4.13,1.33,130.4,124.5,3.68,0.77
13,노경은,18롯,3.42,33,0,0,19,9,6,0,0,132.1,65,60,547,127,24,3,18,30,1,4,89,0,1,4.08,5.00,1.19,127.8,104.5,3.42,0.27
14,박종훈,18S,3.39,30,0,0,30,14,8,0,0,159.1,81,74,702,158,31,3,16,54,0,20,133,0,3,4.18,4.86,1.33,125.8,108.3,3.39,-0.38
15,최충연,18삼,3.00,70,0,0,0,2,6,8,16,85.0,34,34,344,73,16,2,6,26,1,2,101,0,8,3.60,3.33,1.17,147.3,156.2,3.00,1.49
16,샘슨,18한,2.99,30,0,0,29,13,8,0,0,161.2,91,84,703,144,26,1,17,79,0,5,195,2,18,4.68,4.35,1.38,113.3,123.2,2.99,-0.70
17,헥터,18K,2.98,29,1,0,29,11,10,0,0,174.0,102,89,753,209,31,0,25,36,2,4,137,1,4,4.60,4.78,1.41,111.5,107.9,2.98,-1.24
18,레일리,18롯,2.97,30,0,0,30,11,13,0,0,178.1,106,94,775,180,34,4,24,54,1,18,178,2,4,4.74,4.78,1.31,109.9,109.3,2.97,-1.94
19,함덕주,18두,2.96,62,0,0,0,6,3,27,3,67.0,23,22,293,58,9,1,4,37,3,4,75,0,4,2.96,4.07,1.42,171.0,124.8,2.96,1.58
20,송은범,18한,2.94,68,0,0,0,7,4,1,10,79.1,29,22,341,77,9,1,2,33,2,5,61,0,8,2.50,3.98,1.39,212.3,132.4,2.94,0.70
21,한현희,18넥,2.84,30,0,0,28,11,7,0,0,169.0,98,90,756,208,42,3,22,49,0,20,105,0,6,4.79,5.51,1.52,107.5,92.8,2.84,-1.36
22,아델만,18삼,2.83,31,0,0,31,8,12,0,0,171.0,101,96,758,202,39,1,20,54,0,11,137,1,7,5.05,4.89,1.50,105.0,107.1,2.83,-1.15
23,이재학,18N,2.68,29,1,0,29,5,13,0,0,152.1,87,81,658,157,27,2,13,49,2,10,116,0,6,4.79,4.54,1.35,108.4,115.4,2.68,-1.06
24,이태양,18한,2.63,63,0,0,0,4,2,0,12,79.1,30,25,325,66,11,1,10,23,2,4,85,0,4,2.84,4.27,1.12,186.8,125.3,2.63,0.95
25,박상원,18한,2.45,69,0,0,0,4,2,0,9,60.0,17,14,256,59,13,0,3,21,1,4,62,0,3,2.10,3.62,1.33,252.3,146.8,2.45,0.44
26,문승원,18S,2.43,31,0,0,27,8,9,1,1,150.2,86,77,656,180,33,2,24,37,0,4,122,0,4,4.60,5.10,1.44,114.3,104.0,2.43,-1.49
27,김윤동,18K,2.39,64,0,0,0,7,6,4,18,82.2,39,34,369,71,13,1,9,54,7,2,79,0,7,3.70,5.12,1.51,138.7,100.9,2.39,-0.97
28,백정현,18삼,2.35,25,0,0,23,7,7,1,0,125.2,68,64,540,142,27,2,18,36,0,3,99,0,2,4.58,5.05,1.42,115.7,104.1,2.35,-0.87
29,듀브론트,18롯,2.34,25,0,0,25,6,9,0,0,137.1,82,75,629,162,29,2,13,62,1,8,109,3,10,4.92,4.98,1.63,106.1,104.8,2.34,-1.66
30,왕웨이중,18N,2.29,25,0,0,25,7,10,0,0,141.2,83,67,615,169,25,1,16,40,2,2,108,0,2,4.26,4.62,1.48,121.9,113.5,2.29,-0.52
31,김태훈,18S,2.28,61,0,0,4,9,3,0,10,94.0,44,40,394,88,17,0,8,36,4,2,93,0,11,3.83,4.05,1.32,137.3,130.6,2.28,-0.02
32,손승락,18롯,2.25,57,0,0,0,3,5,28,0,57.2,26,25,250,53,13,0,1,20,4,1,60,0,2,3.90,2.86,1.27,133.7,182.5,2.25,0.69
33,베렛,18N,2.23,29,0,0,29,6,10,0,0,155.0,94,91,698,178,31,2,24,59,0,9,144,1,10,5.28,5.30,1.53,98.2,99.1,2.23,-2.29
34,구승민,18롯,2.21,64,0,0,0,7,4,0,14,73.2,33,30,307,62,15,0,12,31,6,3,75,1,2,3.67,5.06,1.26,142.3,103.6,2.21,-0.26
35,정우람,18한,2.02,55,0,0,0,5,3,35,0,53.0,22,20,220,49,9,0,6,12,1,2,56,0,1,3.40,3.93,1.15,156.0,136.2,2.02,1.45
36,로저스,18넥,1.97,13,1,0,13,5,4,0,0,83.0,40,35,345,89,7,4,7,16,0,5,65,0,8,3.80,4.12,1.27,135.8,124.2,1.97,0.07
37,금민철,18K,1.91,29,0,0,29,8,12,0,0,156.1,104,94,720,212,30,1,19,68,1,7,79,0,10,5.41,5.82,1.79,97.9,89.2,1.91,-3.08
38,산체스,18S,1.90,29,0,0,26,8,8,0,1,145.1,90,79,632,161,21,3,26,39,1,7,124,0,12,4.89,5.38,1.38,107.5,98.8,1.90,-1.34
39,심창민,18삼,1.87,59,0,0,0,5,2,17,5,66.1,32,30,284,57,9,2,12,22,2,9,68,0,1,4.07,5.45,1.19,130.3,96.7,1.87,1.28
40,고영표,18K,1.82,25,3,1,23,6,9,0,0,142.0,91,81,620,175,27,4,17,25,1,14,134,1,2,5.13,4.31,1.41,103.2,120.6,1.82,-2.00
41,보니야,18삼,1.79,29,0,0,29,7,10,0,0,168.0,111,99,752,193,40,2,23,63,1,12,151,1,9,5.30,5.14,1.52,100.0,102.2,1.79,-1.92
42,박치국,18두,1.73,67,0,0,0,1,5,3,17,67.0,30,27,293,80,13,0,5,15,4,9,60,1,1,3.63,3.91,1.42,139.4,129.6,1.73,0.27
43,신재웅,18S,1.69,54,0,0,0,2,3,16,6,52.0,23,16,226,49,3,0,5,28,0,1,43,0,3,2.77,5.10,1.48,189.9,102.8,1.69,-0.38
44,오현택,18롯,1.66,72,0,0,0,3,2,0,25,64.2,32,27,268,66,9,0,11,12,0,3,63,1,2,3.76,4.79,1.21,138.8,109.3,1.66,0.11
45,구창모,18N,1.65,36,0,0,23,5,11,0,1,133.0,83,79,598,158,31,2,21,52,0,7,116,1,16,5.35,5.47,1.58,97.1,96.1,1.65,-1.07
46,임창용,18K,1.57,37,0,0,12,5,5,4,4,86.1,54,52,388,92,24,1,16,29,1,11,84,0,5,5.42,5.65,1.40,94.7,91.2,1.57,-0.99
47,장필준,18삼,1.51,61,0,0,0,5,5,6,13,66.1,35,32,290,65,15,1,6,25,2,6,74,0,0,4.34,4.09,1.36,122.2,127.5,1.51,-0.78
48,헤일,18한,1.49,12,0,0,12,3,4,0,0,66.1,35,32,277,68,10,0,8,17,0,4,55,0,3,4.34,4.69,1.28,122.0,113.6,1.49,-0.56
49,임기준,18K,1.48,55,0,0,0,5,1,2,8,56.0,27,22,243,59,5,1,7,23,0,3,45,1,3,3.54,5.24,1.46,145.2,98.4,1.48,1.04
50,휠러,18한,1.44,19,0,0,19,3,9,0,0,101.2,62,58,459,128,16,0,12,34,1,10,94,1,2,5.13,4.79,1.59,103.2,111.5,1.44,-1.07
51,양창섭,18삼,1.43,19,0,0,17,7,6,0,0,87.1,52,49,400,100,22,0,12,34,0,10,49,1,3,5.05,6.01,1.53,105.0,87.4,1.43,-0.72
52,우규민,18삼,1.41,48,0,0,0,4,1,0,10,58.2,28,28,246,70,12,0,6,12,1,5,48,0,0,4.30,4.34,1.40,123.5,120.6,1.41,-0.22
53,김재윤,18K,1.39,62,0,0,0,7,5,15,0,61.0,34,31,271,76,10,1,11,15,4,1,66,0,3,4.57,4.60,1.49,115.9,113.2,1.39,-0.37
54,이영하,18두,1.33,40,0,0,17,10,3,0,2,122.2,75,72,555,140,28,5,15,54,1,9,90,0,8,5.28,5.47,1.58,95.7,92.1,1.33,-1.25
55,김승회,18두,1.23,55,0,0,0,3,4,3,11,54.2,26,21,242,54,11,0,6,23,1,5,34,0,3,3.46,5.50,1.41,146.2,91.9,1.23,-0.58
56,진명호,18롯,1.20,60,0,0,0,5,4,1,9,61.2,34,30,282,53,19,0,7,46,6,1,65,0,3,4.38,5.20,1.61,119.1,100.7,1.20,-0.14
57,정찬헌,18L,1.17,66,0,0,0,5,3,27,0,65.0,36,35,299,76,14,0,5,24,3,7,50,0,2,4.85,4.59,1.54,104.1,110.3,1.17,-1.70
58,장민재,18한,1.16,34,0,0,3,6,2,0,1,59.2,33,31,266,62,14,2,7,23,0,1,42,0,1,4.68,5.16,1.43,113.3,103.2,1.16,-0.44
59,권오준,18삼,1.07,47,0,0,0,3,1,1,2,43.1,21,19,189,43,7,0,7,12,0,3,52,0,2,3.95,4.57,1.27,134.4,115.0,1.07,-0.11
60,김강률,18두,1.05,65,0,0,0,5,0,6,11,76.0,42,39,317,72,10,0,7,24,1,3,81,0,6,4.62,3.93,1.26,109.4,128.3,1.05,1.51
61,김재영,18한,1.04,29,0,0,21,6,4,0,1,111.1,74,70,503,136,32,1,15,37,0,12,56,0,4,5.66,5.90,1.55,93.6,90.1,1.04,-1.08
62,양현,18넥,1.02,33,0,0,0,1,1,0,5,32.2,13,13,132,31,3,0,4,13,0,1,20,0,0,3.58,5.49,1.35,143.9,93.3,1.02,-0.81
63,정성곤,18K,0.98,24,0,0,0,1,0,0,5,24.1,8,8,104,23,1,0,3,11,0,0,23,0,0,2.96,4.90,1.40,179.1,106.2,0.98,-0.01
64,김상수,18넥,0.98,58,0,0,0,2,3,18,14,55.2,32,32,239,53,10,0,9,23,2,1,68,0,6,5.17,4.68,1.37,99.6,108.5,0.98,-0.39
65,문경찬,18K,0.98,32,0,0,0,0,3,0,0,55.1,29,29,240,62,13,0,10,17,2,2,46,1,3,4.72,5.44,1.43,108.8,94.8,0.98,-1.16
66,해커,18넥,0.94,14,0,0,13,5,3,0,0,79.2,49,46,349,86,16,0,16,30,0,5,56,1,2,5.20,6.36,1.46,99.2,80.0,0.94,-0.90
67,이보근,18넥,0.92,64,0,0,0,7,6,0,24,61.0,36,29,263,66,10,2,6,14,1,4,54,0,2,4.28,4.18,1.31,120.4,122.3,0.92,-0.73
68,원종현,18N,0.89,59,0,0,0,3,6,2,17,64.1,38,37,275,78,5,1,7,22,1,2,36,0,5,5.18,5.20,1.55,100.3,101.0,0.89,-1.21
69,이종혁,18K,0.87,47,0,0,0,0,5,1,4,48.1,28,25,215,61,8,0,4,17,3,2,31,0,2,4.66,4.62,1.61,113.8,112.8,0.87,-2.12
70,유승철,18K,0.85,39,0,0,0,1,0,1,3,47.1,25,23,220,49,10,1,5,29,3,4,44,0,4,4.37,5.25,1.65,117.4,98.3,0.85,-0.81
71,박희수,18S,0.84,35,0,0,0,1,2,0,4,33.0,14,12,146,35,8,0,1,15,0,3,30,0,0,3.27,4.05,1.52,160.6,128.8,0.84,-0.95
72,차우찬,18L,0.83,29,1,0,29,12,10,0,0,170.0,119,115,762,177,36,4,27,79,2,10,136,0,10,6.09,5.83,1.51,82.9,85.5,0.83,-2.45
73,배재환,18N,0.80,31,0,0,0,3,3,1,2,36.0,18,18,169,37,5,1,6,25,1,1,34,0,3,4.50,6.19,1.72,115.3,85.0,0.80,-1.11
74,최채흥,18삼,0.78,8,0,0,4,4,1,0,0,28.0,11,10,120,30,5,1,5,8,0,1,25,0,0,3.21,5.33,1.36,165.0,98.9,0.78,0.06
75,황인준,18K,0.78,37,0,0,2,3,1,0,1,52.2,31,29,229,58,13,1,9,12,0,6,35,0,0,4.96,5.75,1.33,103.6,89.6,0.78,-0.23
76,김성훈,18한,0.74,10,0,0,5,0,2,0,0,27.2,12,11,118,25,5,0,2,11,0,3,28,0,3,3.58,4.27,1.30,148.1,124.7,0.74,-0.29
77,팻딘,18K,0.73,36,0,0,21,6,7,0,2,129.1,96,90,588,174,29,1,23,27,2,4,101,0,3,6.26,5.26,1.55,82.0,98.1,0.73,-2.78
78,윤희상,18S,0.72,46,0,0,1,1,2,1,7,51.0,29,29,211,55,5,1,8,7,1,2,44,0,1,5.12,4.62,1.22,102.7,115.4,0.72,-0.22
79,박진우,18N,0.69,11,0,0,1,1,0,0,1,19.2,8,8,80,18,2,0,2,5,1,2,15,0,0,3.66,4.55,1.17,141.8,115.5,0.69,0.05
80,홍성용,18K,0.69,56,0,0,0,2,1,1,6,45.0,28,27,202,49,14,1,7,16,0,5,42,0,2,5.40,5.39,1.44,98.1,96.3,0.69,0.04
81,최동환,18L,0.68,28,0,0,0,1,0,0,1,37.0,19,19,156,33,7,0,6,11,0,3,28,0,4,4.62,5.56,1.19,109.1,89.5,0.68,-0.01
82,류희운,18K,0.68,29,0,0,2,1,1,0,1,44.0,25,24,195,53,11,0,11,14,0,2,28,0,3,4.91,6.90,1.52,107.9,75.1,0.68,-0.28
83,임현준,18삼,0.65,40,0,0,0,0,1,0,3,27.2,12,12,116,20,4,1,3,11,1,5,26,0,0,3.90,4.99,1.12,135.9,104.8,0.65,0.18
84,심재민,18K,0.64,44,0,0,0,4,5,2,3,41.0,25,21,179,47,5,2,5,17,3,2,36,0,4,4.61,4.83,1.56,115.0,107.8,0.64,-1.13
85,윤길현,18롯,0.63,32,0,0,0,1,2,0,4,33.0,18,17,145,33,6,2,4,15,0,0,29,0,2,4.64,5.02,1.46,112.5,104.4,0.63,-0.34
86,박신지,18두,0.61,17,0,0,0,1,2,0,0,21.0,7,7,88,14,3,0,4,9,0,1,16,0,3,3.00,6.21,1.10,168.5,80.3,0.61,-0.85
87,김승현,18삼,0.57,28,0,0,0,1,3,0,2,32.1,18,16,158,48,8,1,3,15,2,5,29,0,3,4.45,4.92,1.95,119.1,106.3,0.57,-0.83
88,이승진,18S,0.56,34,0,0,2,0,1,0,0,41.1,25,21,189,41,6,0,6,20,1,4,37,0,6,4.57,5.60,1.48,115.0,94.4,0.56,-0.65
89,이승호,18넥,0.55,32,0,0,4,1,3,0,4,45.0,28,28,203,44,9,0,8,22,1,5,38,0,8,5.60,6.19,1.47,92.0,82.3,0.55,-0.34
90,이상화,18K,0.54,11,0,0,0,0,0,2,3,10.1,3,3,43,6,1,1,0,5,0,1,14,0,2,2.61,2.87,1.07,202.8,182.3,0.54,-0.41
