,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
0,헥터,1.32,0.8,0.25878220140515223,0.02459016393442623,0.7405566600397615,0.22365805168986086,3.4890656063618293,5.86
1,장원준,1.24,0.6086956521739131,0.22631578947368422,0.015789473684210527,0.694058856191005,0.28317601332593006,3.148250971682399,5.4
2,피어밴드,1.15,0.4444444444444444,0.2328767123287671,0.030441400304414,0.825,0.19375,3.0375,5.34
3,켈리,1.31,0.6956521739130435,0.25030674846625767,0.0196319018404908,0.9947368421052631,0.23684210526315788,3.6,5.11
4,레일리,1.3,0.65,0.24937343358395989,0.023809523809523808,0.8337787279529664,0.23516835916622128,3.800106894708712,5.07
5,허프,0.91,0.6,0.20408163265306123,0.014285714285714285,0.789049919484702,0.11272141706924316,2.391304347826087,4.95
6,박세웅,1.32,0.6666666666666666,0.23448275862068965,0.028965517241379312,0.6838106370543542,0.3272939801285798,3.6820572764465225,4.67
7,양현종,1.31,0.7692307692307693,0.25866336633663367,0.02103960396039604,0.8182288969445883,0.2330398757120663,3.4489901605385813,4.6
8,해커,1.17,0.631578947368421,0.23660714285714285,0.020833333333333332,0.6058713304184885,0.1811367895065584,3.429106808244847,4.52
9,소사,1.23,0.5,0.24577373211963588,0.014304291287386216,0.826580226904376,0.20529443544030254,3.8897893030794166,4.22
10,차우찬,1.19,0.5882352941176471,0.2336065573770492,0.0273224043715847,0.8961187214611873,0.2168949771689498,3.4417808219178085,4.21
11,손승락,1.13,0.25,0.236,0.028,1.0,0.1774193548387097,2.1774193548387095,4.13
12,윤성환,1.25,0.5714285714285714,0.2476060191518468,0.030095759233926128,0.7466973004020678,0.2125215393452039,4.290637564618036,3.73
13,박종훈,1.36,0.631578947368421,0.2183734939759036,0.024096385542168676,0.7081403044341495,0.40370615486432826,4.1098610191925875,3.51
14,팻딘,1.42,0.5625,0.274025974025974,0.02857142857142857,0.8125,0.2215909090909091,4.142045454545454,3.51
15,니퍼트,1.4,0.6363636363636364,0.2237851662404092,0.02557544757033248,0.8984375000000001,0.4296875,4.068080357142858,3.45
16,최원태,1.31,0.6111111111111112,0.25274725274725274,0.029827315541601257,0.8450704225352113,0.22803487592219987,4.466800804828974,3.42
17,밴헤켄,1.32,0.5333333333333333,0.23688663282571912,0.021996615905245348,1.0065170166545983,0.30412744388124546,3.7798696596669084,3.31
18,함덕주,1.4,0.5294117647058824,0.2140468227424749,0.013377926421404682,1.013858497447119,0.4668125455871627,3.676148796498906,3.23
19,정우람,1.12,0.6,0.1902834008097166,0.020242914979757085,1.3220338983050848,0.3220338983050847,2.7457627118644066,2.88
20,송승준,1.33,0.6875,0.23655913978494625,0.034050179211469536,0.8685626441199078,0.3151421983089931,4.219830899308224,2.8
21,브리검,1.33,0.625,0.2681744749596123,0.027463651050080775,0.6805555555555556,0.18055555555555555,4.375,2.77
22,임기영,1.32,0.5714285714285714,0.2776659959758551,0.018108651911468814,0.6181202370872143,0.15241320914479256,3.6579170194750215,2.76
23,다이아몬드,1.47,0.5882352941176471,0.28055077452667815,0.0189328743545611,0.4399701715137957,0.26099925428784493,4.429530201342282,2.64
24,오간도,1.32,0.6666666666666666,0.24210526315789474,0.016842105263157894,0.6727272727272727,0.2727272727272727,3.9272727272727272,2.6
25,김진성,1.1,0.625,0.1994459833795014,0.036011080332409975,1.0986547085201794,0.30269058295964124,3.632286995515695,2.56
26,고영표,1.31,0.4,0.2777777777777778,0.021241830065359478,0.8852691218130312,0.113314447592068,5.09915014164306,2.52
27,맨쉽,1.29,0.75,0.23430962343096234,0.014644351464435146,0.7664884135472371,0.29411764705882354,3.6898395721925135,2.45
28,비야누에바,1.17,0.4166666666666667,0.23427331887201736,0.026030368763557483,0.6071428571428571,0.20535714285714285,4.178571428571429,2.41
29,신재영,1.3,0.46153846153846156,0.25512104283054005,0.0260707635009311,0.6,0.2,4.536,2.36
30,린드블럼,1.16,0.625,0.22297297297297297,0.033783783783783786,1.0526315789473684,0.2493074792243767,3.739612188365651,2.35
31,유희관,1.43,0.6470588235294118,0.2773722627737226,0.024330900243309004,0.563230605738576,0.21785334750265675,4.543039319872476,2.34
32,로치,1.58,0.21052631578947367,0.2691790040376851,0.024226110363391656,0.6,0.36363636363636365,4.6909090909090905,2.28
33,김강률,1.36,0.7777777777777778,0.23237597911227154,0.015665796344647518,0.8202247191011236,0.3595505617977528,3.438202247191011,2.27
34,임창민,1.26,0.5714285714285714,0.22058823529411764,0.03676470588235294,0.9393939393939394,0.3484848484848485,3.6818181818181817,2.27
35,백정현,1.45,0.6666666666666666,0.24663677130044842,0.02466367713004484,0.9381237524950099,0.3592814371257485,4.401197604790419,2.15
36,심창민,1.31,0.36363636363636365,0.16516516516516516,0.036036036036036036,1.37150466045273,0.5858854860186419,4.194407456724368,2.09
37,박정배,1.34,0.625,0.2,0.03103448275862069,0.7205882352941176,0.4852941176470588,3.573529411764706,1.92
38,김윤동,1.46,0.6363636363636364,0.19662921348314608,0.028089887640449437,0.8239700374531835,0.5867665418227216,4.606741573033708,1.89
39,김상수,1.32,0.0,0.22519083969465647,0.030534351145038167,1.0147299509001637,0.36006546644844517,3.829787234042553,1.85
40,이상화,1.27,0.5714285714285714,0.24548736462093862,0.01444043321299639,0.8636363636363636,0.24242424242424243,3.9545454545454546,1.8
41,한현희,1.14,0.45454545454545453,0.22975929978118162,0.030634573304157548,0.743879472693032,0.160075329566855,4.491525423728813,1.74
42,문승원,1.51,0.3333333333333333,0.260431654676259,0.03597122302158273,0.5544809800128949,0.3481624758220503,5.338491295938105,1.69
43,윤규진,1.53,0.5333333333333333,0.2623574144486692,0.03612167300380228,0.7815126050420168,0.3697478991596639,5.218487394957983,1.68
44,이민호,1.33,0.8333333333333334,0.2268041237113402,0.02577319587628866,0.9750566893424036,0.3401360544217687,4.081632653061225,1.66
45,임창용,1.46,0.5714285714285714,0.22666666666666666,0.013333333333333334,1.16,0.44,3.78,1.51
46,이현승,1.5,0.6,0.26382978723404255,0.01702127659574468,0.7307692307692307,0.3076923076923077,3.980769230769231,1.45
47,박진형,1.53,0.5,0.22506393861892582,0.020460358056265986,1.0795454545454546,0.5340909090909091,5.113636363636363,1.4
48,진해수,1.27,0.5,0.23529411764705882,0.027149321266968326,0.9195402298850575,0.28735632183908044,3.96551724137931,1.34
49,임찬규,1.43,0.375,0.2375,0.02142857142857143,0.9105560032232072,0.36261079774375504,4.641418211120064,1.34
50,장필준,1.6,0.3333333333333333,0.2671009771986971,0.019543973941368076,1.2220566318926975,0.3874813710879285,4.694485842026826,1.3
51,서진용,1.44,0.4,0.21717171717171718,0.020202020202020204,1.1956521739130435,0.5,3.9130434782608696,1.27
52,이용찬,1.54,0.5,0.25617283950617287,0.015432098765432098,0.800561797752809,0.3792134831460674,4.424157303370786,1.22
53,원종현,1.31,0.3333333333333333,0.24855491329479767,0.011560693641618497,0.8625,0.2375,4.3875,1.22
54,엄상백,1.35,0.25,0.2096069868995633,0.013100436681222707,0.75,0.4230769230769231,4.153846153846154,1.21
55,보우덴,1.47,0.375,0.23136246786632392,0.038560411311053984,0.5855338691159587,0.4362801377726751,4.649827784156143,1.17
56,심재민,1.57,0.125,0.25,0.03197674418604651,0.9299191374663073,0.41778975741239893,5.215633423180593,1.14
57,배장호,1.34,0.8888888888888888,0.24390243902439024,0.0313588850174216,0.7110438729198185,0.28744326777609686,4.357034795763994,1.13
58,배영수,1.44,0.4666666666666667,0.26956521739130435,0.029565217391304348,0.671875,0.2265625,5.0625,1.13
59,김유영,1.58,,0.23963133640552994,0.02304147465437788,0.8506224066390041,0.5186721991701244,4.481327800829876,1.09
60,김재영,1.41,0.4166666666666667,0.27297297297297296,0.024324324324324326,0.5992949471210341,0.22326674500587546,4.5475910693302,1.08
61,장시환,1.54,0.5,0.21052631578947367,0.02631578947368421,1.1154598825831703,0.6066536203522505,4.403131115459883,1.07
62,신재웅,1.23,0.0,0.18253968253968253,0.023809523809523808,0.9354838709677419,0.4838709677419355,3.193548387096774,1.07
63,오주원,1.51,0.2222222222222222,0.2917933130699088,0.030395136778115502,0.7650273224043715,0.20491803278688525,4.795081967213115,1.03
64,심수창,1.63,0.75,0.27307692307692305,0.03076923076923077,0.9473684210526315,0.38596491228070173,4.7368421052631575,1.0
65,하영민,1.74,0.5,0.23786407766990292,0.024271844660194174,0.5099778270509978,0.6651884700665188,4.789356984478935,0.98
66,장현식,1.53,0.5,0.23166666666666666,0.03,0.894854586129754,0.4921700223713647,5.302013422818792,0.96
67,김성민,1.64,0.5714285714285714,0.25304136253041365,0.029197080291970802,0.8600917431192661,0.4587155963302752,4.954128440366972,0.91
68,권오준,1.27,0.3333333333333333,0.2446351931330472,0.04721030042918455,0.9821428571428571,0.25,5.142857142857143,0.9
69,김승회,1.49,0.6363636363636364,0.28289473684210525,0.019736842105263157,0.5942028985507246,0.2463768115942029,4.956521739130435,0.89
70,백청훈,1.07,,0.20270270270270271,0.0,0.5494505494505495,0.27472527472527475,2.4725274725274726,0.88
71,김원중,1.73,0.4666666666666667,0.2564102564102564,0.02564102564102564,0.8123249299719888,0.5228758169934641,5.714285714285714,0.87
72,고효준,1.65,0.75,0.23655913978494625,0.005376344086021506,0.875,0.55,4.275,0.83
73,이동걸,1.12,,0.2465753424657534,0.03424657534246575,0.6077348066298343,0.13812154696132595,4.226519337016574,0.8
74,박정진,1.29,0.6,0.18536585365853658,0.02926829268292683,1.0625,0.5,3.9375,0.78
75,김명신,1.46,0.75,0.27,0.01,0.8425720620842572,0.2660753880266075,4.390243902439024,0.78
76,이보근,1.5,0.75,0.2627118644067797,0.038135593220338986,1.1111111111111112,0.32567049808429116,5.517241379310344,0.72
77,강윤구,1.48,0.6666666666666666,0.23265306122448978,0.05714285714285714,0.9409594095940959,0.44280442804428044,4.483394833948339,0.72
78,임기준,1.82,0.0,0.2403846153846154,0.009615384615384616,0.5454545454545454,0.6818181818181818,3.272727272727273,0.66
79,강동호,1.43,0.6666666666666666,0.24157303370786518,0.0449438202247191,0.6326034063260341,0.389294403892944,4.817518248175182,0.65
80,조정훈,1.3,0.6666666666666666,0.1717171717171717,0.010101010101010102,1.0869565217391304,0.5652173913043478,3.9130434782608696,0.64
81,조상우,1.53,0.625,0.2676767676767677,0.015151515151515152,1.0204081632653061,0.3401360544217687,4.8979591836734695,0.62
82,김경태,1.66,1.0,0.20689655172413793,0.0,1.3934426229508197,0.7377049180327869,1.4754098360655739,0.59
83,임준혁,1.83,,0.242152466367713,0.017937219730941704,0.6651884700665188,0.6430155210643015,4.58980044345898,0.56
