,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점
0,린드블럼,1.07,0.7894736842105263,0.20851688693098386,0.023494860499265784,0.9334126040428062,0.2259215219976219,2.8894173602853748
1,윌슨,1.14,0.6923076923076923,0.22931785195936139,0.015965166908563134,0.8764705882352941,0.20588235294117646,3.070588235294118
2,브리검,1.2,0.6111111111111112,0.22677925211097708,0.022919179734620022,0.8793969849246231,0.25125628140703515,3.8442211055276383
3,김광현,1.14,0.5789473684210527,0.22563176895306858,0.02888086642599278,0.9558823529411765,0.22058823529411764,2.9779411764705883
4,양현종,1.31,0.5416666666666666,0.25777202072538863,0.027202072538860103,0.8256382400869093,0.23356871265616513,4.155350353068984
5,소사,1.21,0.5,0.25263157894736843,0.021052631578947368,0.9994478188845942,0.15461071231363888,3.5284373274434015
6,니퍼트,1.41,0.5,0.27320261437908494,0.03398692810457516,0.9417808219178083,0.2226027397260274,4.263698630136987
7,후랭코프,1.16,0.8571428571428571,0.19001610305958133,0.01932367149758454,0.8987256874580819,0.3688799463447351,3.7424547283702214
8,이용찬,1.3,0.8333333333333334,0.24835526315789475,0.023026315789473683,0.7083333333333334,0.25,3.625
9,켈리,1.26,0.631578947368421,0.22551928783382788,0.026706231454005934,1.0183428209993675,0.2972802024035421,4.098671726755218
10,피어밴드,1.37,0.5,0.26308345120226306,0.033946251768033946,0.8645003065603925,0.23298589822194973,4.304107909258124
11,최원태,1.33,0.65,0.24956672443674177,0.01386481802426343,0.7531692766592096,0.26099925428784493,3.9597315436241614
12,노경은,1.19,0.6,0.23217550274223034,0.03290676416819013,0.6737320211960636,0.22710068130204392,4.08781226343679
13,박종훈,1.33,0.6363636363636364,0.22507122507122507,0.022792022792022793,0.8359522313010685,0.33940917661847897,4.186046511627907
14,최충연,1.17,0.25,0.21220930232558138,0.01744186046511628,1.188235294117647,0.3058823529411765,3.6
15,샘슨,1.38,0.6190476190476191,0.20483641536273114,0.02418207681365576,1.2096774193548387,0.49007444168734493,4.689826302729529
16,헥터,1.41,0.5238095238095238,0.2775564409030544,0.033200531208499334,0.7873563218390804,0.20689655172413793,4.603448275862069
17,레일리,1.31,0.4583333333333333,0.23225806451612904,0.03096774193548387,0.9994385176866929,0.30320044918585065,4.750140370578327
18,함덕주,1.42,0.6666666666666666,0.19795221843003413,0.013651877133105802,1.1194029850746268,0.5522388059701493,2.955223880597015
19,송은범,1.39,0.6363636363636364,0.22580645161290322,0.005865102639296188,0.7711757269279393,0.4171934260429836,2.503160556257902
20,한현희,1.52,0.6111111111111112,0.2751322751322751,0.0291005291005291,0.621301775147929,0.28994082840236685,4.792899408284024
21,아델만,1.5,0.4,0.26649076517150394,0.026385224274406333,0.8011695906432749,0.3157894736842105,5.052631578947368
22,이재학,1.35,0.2777777777777778,0.23860182370820668,0.019756838905775075,0.762656147271532,0.32215647600262987,4.792899408284024
23,이태양,1.12,0.6666666666666666,0.20307692307692307,0.03076923076923077,1.074589127686473,0.29077117572692796,2.844500632111252
24,박상원,1.33,0.6666666666666666,0.23046875,0.01171875,1.0333333333333334,0.35,2.1
25,문승원,1.44,0.47058823529411764,0.27439024390243905,0.036585365853658534,0.8122503328894808,0.2463382157123835,4.613848202396805
26,김윤동,1.51,0.5384615384615384,0.19241192411924118,0.024390243902439025,0.9610705596107055,0.656934306569343,3.722627737226277
27,백정현,1.42,0.5,0.26296296296296295,0.03333333333333333,0.7907348242811502,0.28753993610223644,4.600638977635783
28,듀브론트,1.63,0.4,0.2575516693163752,0.02066772655007949,0.7950401167031365,0.45222465353756386,4.923413566739606
29,왕웨이중,1.48,0.4117647058823529,0.27479674796747966,0.026016260162601626,0.764872521246459,0.28328611898017,4.270538243626063
30,김태훈,1.32,0.75,0.2233502538071066,0.02030456852791878,0.9893617021276596,0.3829787234042553,3.8297872340425534
31,손승락,1.27,0.375,0.212,0.004,1.048951048951049,0.34965034965034963,3.9335664335664333
32,베렛,1.53,0.375,0.25501432664756446,0.034383954154727794,0.9290322580645162,0.38064516129032255,5.283870967741936
33,구승민,1.26,0.6363636363636364,0.20195439739413681,0.03908794788273615,1.0245901639344261,0.4234972677595628,3.6885245901639343
34,정우람,1.15,0.625,0.22272727272727272,0.02727272727272727,1.0566037735849056,0.22641509433962265,3.3962264150943398
35,로저스,1.27,0.5555555555555556,0.2579710144927536,0.020289855072463767,0.7831325301204819,0.1927710843373494,3.7951807228915664
36,금민철,1.79,0.4,0.29444444444444445,0.02638888888888889,0.5060858424087123,0.4356181934657271,5.4196028187059575
37,산체스,1.38,0.5,0.254746835443038,0.04113924050632911,0.8545830461750518,0.2687801516195727,4.900068917987595
38,심창민,1.19,0.7142857142857143,0.2007042253521127,0.04225352112676056,1.0287443267776097,0.33282904689863846,4.084720121028744
39,고영표,1.41,0.4,0.28225806451612906,0.027419354838709678,0.9436619718309859,0.176056338028169,5.133802816901408
40,보니야,1.52,0.4117647058823529,0.2566489361702128,0.030585106382978722,0.8988095238095238,0.375,5.303571428571429
41,박치국,1.42,0.16666666666666666,0.27303754266211605,0.017064846416382253,0.8955223880597015,0.22388059701492538,3.626865671641791
42,신재웅,1.48,0.4,0.2168141592920354,0.022123893805309734,0.8269230769230769,0.5384615384615384,2.769230769230769
43,오현택,1.21,0.6,0.2462686567164179,0.041044776119402986,0.9813084112149533,0.18691588785046728,3.7850467289719623
44,구창모,1.58,0.3125,0.26421404682274247,0.03511705685618729,0.8721804511278195,0.39097744360902253,5.345864661654136
45,임창용,1.4,0.5,0.23711340206185566,0.041237113402061855,0.9756097560975611,0.33681765389082463,5.435540069686412
46,장필준,1.36,0.5,0.22413793103448276,0.020689655172413793,1.119515885022693,0.37821482602118006,4.357034795763994
47,헤일,1.28,0.42857142857142855,0.24548736462093862,0.02888086642599278,0.8320726172465961,0.25718608169440244,4.357034795763994
48,임기준,1.46,0.8333333333333334,0.24279835390946503,0.02880658436213992,0.8035714285714286,0.4107142857142857,3.5357142857142856
49,휠러,1.59,0.25,0.2788671023965142,0.026143790849673203,0.9288537549407114,0.3359683794466403,5.158102766798419
50,양창섭,1.53,0.5384615384615384,0.25,0.03,0.5625717566016074,0.39035591274397247,5.063145809414467
51,우규민,1.4,0.8,0.2845528455284553,0.024390243902439025,0.8247422680412371,0.20618556701030927,4.329896907216495
52,김재윤,1.49,0.5833333333333334,0.28044280442804426,0.04059040590405904,1.0819672131147542,0.2459016393442623,4.573770491803279
53,이영하,1.58,0.7692307692307693,0.25225225225225223,0.02702702702702703,0.7364975450081833,0.44189852700490995,5.30278232405892
54,김승회,1.41,0.42857142857142855,0.2231404958677686,0.024793388429752067,0.6273062730627306,0.4243542435424354,3.487084870848708
55,진명호,1.61,0.5555555555555556,0.1879432624113475,0.024822695035460994,1.0620915032679739,0.7516339869281046,4.411764705882352
56,정찬헌,1.54,0.625,0.25418060200668896,0.016722408026755852,0.7692307692307693,0.36923076923076925,4.846153846153846
