,Unnamed: 0,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점
0,0,알칸타라,1.03,0.9090909090909092,0.2188679245283019,0.01509433962264151,0.9182643794147326,0.1513622603430878,2.542885973763875
1,1,스트레일리,1.02,0.7894736842105263,0.19047619047619047,0.012870012870012871,1.055612770339856,0.2626158599382081,2.502574665293512
2,2,브룩스,1.02,0.7333333333333333,0.2235494880546075,0.006825938566552901,0.8603573792190603,0.15883520847121113,2.501654533421575
3,3,루친스키,1.26,0.7916666666666666,0.22467532467532467,0.01818181818181818,0.9125683060109291,0.3114754098360656,3.0491803278688523
4,4,요키시,1.06,0.631578947368421,0.225,0.009375,0.7223618090452262,0.157035175879397,2.148241206030151
5,5,뷰캐넌,1.27,0.6818181818181818,0.23626373626373626,0.02197802197802198,0.6946039035591275,0.28702640642939153,3.4615384615384617
6,6,구창모,0.81,1.0,0.16666666666666666,0.020114942528735632,1.0955961331901185,0.1933404940923738,1.7400644468313642
7,7,켈리,1.15,0.6818181818181818,0.2269503546099291,0.02269503546099291,0.7741190063547083,0.2310803004043905,3.3275563258232235
8,8,문승원,1.24,0.42857142857142855,0.22295081967213115,0.02131147540983606,0.8057851239669422,0.30991735537190085,3.65702479338843
9,9,플렉센,1.09,0.6666666666666666,0.2055084745762712,0.012711864406779662,1.135972461273666,0.2581755593803787,3.0206540447504304
10,10,최채흥,1.25,0.6470588235294118,0.21231766612641811,0.019448946515397084,0.8424657534246576,0.3493150684931507,3.5753424657534247
11,11,데스파이네,1.45,0.6521739130434783,0.2571743929359823,0.019867549668874173,0.7335907335907337,0.3281853281853282,4.343629343629344
12,12,최원준,1.37,0.8333333333333334,0.2518796992481203,0.028195488721804513,0.7642276422764228,0.2845528455284553,3.804878048780488
13,13,조상우,1.25,0.625,0.21551724137931036,0.01293103448275862,1.1829944547134934,0.33271719038817005,2.1626617375231048
14,14,가뇽,1.42,0.5789473684210527,0.2307692307692308,0.009971509971509971,0.885678391959799,0.4020100502512563,4.3530150753768835
15,15,라이블리,1.22,0.4615384615384616,0.20502092050209209,0.02301255230125523,0.8482142857142857,0.3482142857142857,4.258928571428571
16,16,박준표,0.95,0.875,0.2,0.014634146341463415,0.859375,0.15625,1.58203125
17,17,배제성,1.46,0.5882352941176471,0.210016155088853,0.019386106623586433,0.5882352941176471,0.5386250885896527,3.9546420978029766
18,18,정우영,1.03,0.5,0.15737704918032788,0.009836065573770493,0.7866666666666666,0.38666666666666666,3.12
19,19,쿠에바스,1.25,0.5555555555555556,0.2275449101796407,0.02395209580838324,0.6962025316455697,0.2911392405063291,4.10126582278481
20,20,오승환,1.24,0.6,0.21890547263681592,0.009950248756218905,0.8262711864406779,0.3177966101694915,2.6694915254237293
21,21,주권,1.23,0.75,0.1836734693877551,0.020408163265306117,0.5285714285714286,0.4571428571428571,2.7
22,22,양현종,1.42,0.5238095238095238,0.2412868632707775,0.01742627345844504,0.8657757117954678,0.3718768158047647,4.706565950029052
23,23,브리검,1.31,0.6428571428571429,0.2149122807017544,0.013157894736842105,0.9813084112149532,0.3925233644859813,3.616822429906542
24,24,소형준,1.4,0.6842105263157895,0.2465034965034965,0.01048951048951049,0.6917293233082706,0.3383458646616541,3.8571428571428568
25,25,김민우,1.46,0.3333333333333333,0.20404721753794267,0.025295109612141653,0.9379727685325264,0.5446293494704992,4.357034795763994
26,26,송명기,1.34,0.75,0.20967741935483872,0.03225806451612903,0.8256880733944953,0.4472477064220183,3.7155963302752286
27,27,박민호,1.19,0.6666666666666666,0.2,0.018604651162790697,0.6923076923076923,0.36538461538461536,2.4230769230769234
28,28,김재윤,1.27,0.625,0.2421875,0.02734375,0.9634551495016612,0.24916943521594684,3.2890365448504983
29,29,윤대경,1.43,1.0,0.21333333333333332,0.013333333333333334,0.8235294117647058,0.4901960784313725,1.5882352941176472
30,30,라이트,1.44,0.55,0.235632183908046,0.017241379310344827,0.7951653944020357,0.400763358778626,4.69465648854962
31,31,박세웅,1.52,0.4444444444444444,0.2689969604863222,0.030395136778115506,0.734194425560843,0.3195105370496261,4.711080897348743
32,32,이영하,1.62,0.3125,0.2446280991735537,0.014876033057851241,0.6439393939393939,0.5,4.636363636363637
33,33,강재민,1.2,0.3333333333333333,0.2019704433497537,0.014778325123152709,1.163265306122449,0.3673469387755102,2.571428571428572
34,34,박종훈,1.42,0.5416666666666666,0.211287988422576,0.020260492040520984,0.852959898154042,0.4964990451941439,4.812221514958625
35,35,구승민,1.09,0.7142857142857143,0.16806722689075632,0.03361344537815126,0.9650582362728786,0.43261231281198,3.594009983361065
36,36,이민호,1.41,0.5,0.21658986175115208,0.01152073732718894,0.6893004115226338,0.4526748971193416,3.703703703703704
37,37,조현우,1.29,0.8333333333333334,0.19387755102040816,0.005102040816326529,0.7142857142857142,0.4761904761904762,3.1168831168831166
38,38,양현,1.25,0.7272727272727273,0.23673469387755106,0.0163265306122449,0.55,0.2833333333333333,3.3
39,39,노경은,1.35,0.3333333333333333,0.2421602787456446,0.03310104529616725,0.5789473684210527,0.3007518796992481,4.87218045112782
40,40,전상현,1.2,0.5,0.17676767676767674,0.020202020202020204,1.3559322033898304,0.4661016949152542,2.4788135593220337
41,41,이승현,1.29,0.3333333333333333,0.1991150442477876,0.04867256637168142,0.9611829944547134,0.4621072088724584,3.4935304990757854
42,42,김원중,1.26,0.5555555555555556,0.20883534136546186,0.0321285140562249,0.964467005076142,0.38917089678511,3.9593908629441614
43,43,원태인,1.56,0.375,0.25878594249201275,0.030351437699680513,0.5571428571428572,0.4,4.885714285714286
44,44,임찬규,1.41,0.5263157894736842,0.22308892355694224,0.0218408736349454,0.9375,0.4415760869565218,4.096467391304349
45,45,정찬헌,1.33,0.6363636363636364,0.2468085106382979,0.02127659574468085,0.7720254314259765,0.2815622161671208,3.5149863760217985
46,46,정해영,1.7,0.625,0.2366863905325444,0.01183431952662722,0.8602150537634408,0.6451612903225806,3.3870967741935485
47,47,이보근,1.16,0.75,0.21875,0.010416666666666666,0.5844155844155844,0.2597402597402597,2.5324675324675323
48,48,김진성,1.08,1.0,0.21578947368421053,0.021052631578947368,1.18895966029724,0.21231422505307854,2.6751592356687897
49,49,장시환,1.61,0.2222222222222222,0.230514096185738,0.02487562189054726,0.8698940998487141,0.5597579425113465,5.037821482602118
50,50,박치국,1.38,0.5,0.20504731861198736,0.01577287066246057,0.9269662921348314,0.4775280898876405,2.9073033707865172
51,51,홍성민,1.0,1.0,0.19230769230769232,0.019230769230769232,0.5384615384615384,0.2307692307692308,1.0384615384615383
52,52,임기영,1.45,0.4736842105263158,0.27191413237924866,0.02146690518783542,0.8333333333333333,0.2594339622641509,5.165094339622642
53,53,안우진,1.03,0.4,0.13986013986013987,0.02097902097902098,1.1388888888888888,0.4722222222222222,3.0
54,54,서폴드,1.49,0.43478260869565216,0.276566757493188,0.025885558583106268,0.5878787878787879,0.2545454545454545,4.909090909090909
55,55,함덕주,1.37,0.8333333333333334,0.22916666666666666,0.008333333333333333,0.998185117967332,0.3811252268602541,3.9201451905626135
56,56,김진영,1.3,0.5,0.2077922077922078,0.025974025974025976,1.037037037037037,0.4074074074074074,3.333333333333333
57,57,최동환,1.16,0.8,0.2368421052631579,0.02631578947368421,0.7368421052631579,0.21052631578947367,3.4736842105263164
58,58,정우람,1.29,0.375,0.25217391304347825,0.017391304347826087,0.9796672828096118,0.22181146025878004,4.824399260628466
59,59,김대우,1.5,0.0,0.2222222222222222,0.0046296296296296285,0.8757637474541752,0.5295315682281059,3.116089613034623
60,60,유원상,1.25,0.6666666666666666,0.1918819188191882,0.029520295202952032,0.578125,0.4375,3.796875
61,61,이승호,1.45,0.5,0.2553191489361702,0.029013539651837526,0.6175972927241963,0.33840947546531297,5.101522842639594
62,62,윌슨,1.38,0.5555555555555556,0.2563694267515924,0.020700636942675158,0.7558945908460473,0.2704576976421637,4.431345353675451
63,63,서진용,1.41,0.2222222222222222,0.19696969696969696,0.04166666666666666,0.918032786885246,0.5573770491803278,4.131147540983608
64,64,이건욱,1.53,0.3333333333333333,0.1937269372693727,0.02029520295202952,0.7459016393442623,0.6639344262295082,5.680327868852459
65,65,원종현,1.33,0.375,0.22857142857142854,0.0163265306122449,0.7192982456140351,0.3508771929824561,4.2631578947368425
66,66,임현준,1.22,0.5,0.22018348623853207,0.01834862385321101,0.7171314741035856,0.2788844621513944,1.792828685258964
67,67,한현희,1.31,0.4375,0.2402044293015332,0.017035775127768313,0.8062130177514794,0.27366863905325445,4.992603550295859
68,68,오현택,1.25,0.75,0.2434210526315789,0.03289473684210526,0.4722222222222222,0.2222222222222222,3.75
69,69,정수민,1.02,1.0,0.18032786885245905,0.0,0.7236842105263158,0.32894736842105265,1.1842105263157896
70,70,이인복,1.52,0.2,0.2864321608040201,0.010050251256281407,0.4656319290465632,0.2660753880266075,3.991130820399113
71,71,홍상삼,1.79,0.4444444444444444,0.13973799126637554,0.021834061135371174,1.2708333333333333,1.125,5.0625
72,72,홍건희,1.4,0.42857142857142855,0.24749163879598665,0.026755852842809364,0.8797653958944281,0.3225806451612903,5.0146627565982405
73,73,김태훈,1.44,1.0,0.2491103202846975,0.0035587188612099642,0.625,0.34375,4.21875
74,74,배재환,1.7,0.25,0.18181818181818185,0.019138755980861243,0.7674418604651163,0.813953488372093,3.976744186046512
75,75,최지광,1.47,0.25,0.1708542713567839,0.010050251256281407,1.020408163265306,0.7029478458049886,4.8979591836734695
76,76,송은범,1.52,0.6666666666666666,0.26720647773279355,0.016194331983805668,0.5,0.3392857142857143,4.5
77,77,김윤수,1.67,0.375,0.2481203007518797,0.022556390977443608,0.7068965517241379,0.5344827586206896,4.655172413793104
78,78,최성훈,1.56,,0.2482758620689655,0.006896551724137931,0.7250755287009063,0.4833836858006042,3.5347432024169176
79,79,박상원,1.41,1.0,0.2421875,0.03125,0.8965517241379308,0.3448275862068966,4.655172413793104
80,80,이정용,1.35,1.0,0.217687074829932,0.040816326530612235,0.9705882352941176,0.4117647058823529,3.7058823529411766
81,81,김건국,1.23,0.6,0.2158273381294964,0.014388489208633094,0.9935897435897436,0.2884615384615385,4.038461538461538
82,82,이영준,1.5,0.4,0.23295454545454544,0.028409090909090905,0.8,0.475,4.725
83,83,김범수,1.76,0.3333333333333333,0.21235521235521235,0.03474903474903475,1.0,0.7636363636363637,5.236363636363637
84,84,김대우,1.56,0.3,0.2714285714285714,0.025714285714285717,0.4792746113989637,0.3367875647668393,5.129533678756476
85,85,고우석,1.34,0.0,0.2021857923497268,0.01092896174863388,1.2378640776699028,0.4611650485436893,4.150485436893204
86,86,김민규,1.29,0.3333333333333333,0.20346320346320346,0.012987012987012988,1.0169491525423728,0.4143126177024482,4.915254237288137
87,87,임정호,1.27,0.5,0.18285714285714288,0.017142857142857144,0.9268292682926829,0.4878048780487805,4.609756097560974
88,88,김선기,1.14,,0.18478260869565216,0.010869565217391304,0.5,0.3636363636363637,2.0454545454545454
89,89,최원태,1.38,0.5384615384615384,0.2405857740585774,0.03347280334728033,0.6090909090909091,0.3363636363636364,5.072727272727271
90,90,허윤동,1.64,0.6666666666666666,0.2107843137254902,0.0196078431372549,0.4,0.6888888888888889,4.8
91,91,이태양,1.5,0.6666666666666666,0.272,0.032,0.8035714285714286,0.2857142857142857,5.4642857142857135
92,92,진해수,1.54,0.6666666666666666,0.23478260869565215,0.013043478260869565,1.18,0.46,4.32
93,93,임규빈,1.49,1.0,0.2839506172839506,0.06790123456790123,0.5376344086021505,0.26881720430107525,4.596774193548387
94,94,조영우,1.57,0.3333333333333333,0.2823529411764706,0.035294117647058816,0.4935064935064935,0.3246753246753247,5.961038961038962
95,95,서준원,1.5,0.5384615384615384,0.2708333333333333,0.03333333333333333,0.5597014925373134,0.2891791044776119,5.205223880597014
96,96,최준용,1.42,0.0,0.2384615384615385,0.02307692307692308,0.8904109589041096,0.3767123287671233,4.931506849315068
97,97,전유수,1.47,0.5555555555555556,0.23,0.015,0.5973451327433628,0.4646017699115044,5.176991150442476
98,98,박정수,1.49,0.5,0.1736111111111111,0.027777777777777776,0.8787878787878788,0.7272727272727273,4.636363636363637
99,99,양기현,1.46,0.0,0.24242424242424246,0.030303030303030307,0.5194805194805194,0.4329004329004329,3.8961038961038965
100,100,김건태,1.54,0.5,0.1870967741935484,0.025806451612903226,1.0571428571428572,0.7142857142857143,4.885714285714286
101,101,김재웅,1.46,0.2,0.248062015503876,0.027131782945736437,0.8614864864864864,0.3885135135135135,4.712837837837838
102,102,송윤준,1.57,,0.2169811320754717,0.009433962264150943,0.6956521739130435,0.5652173913043478,4.304347826086956
103,103,채지선,1.76,1.0,0.21518987341772156,0.0189873417721519,1.0303030303030305,0.7272727272727273,4.909090909090909
104,104,이준영,1.86,0.0,0.2743362831858407,0.008849557522123894,0.9482758620689656,0.5603448275862071,5.431034482758621
105,105,김명신,1.57,0.0,0.2777777777777778,0.04166666666666666,0.7284768211920529,0.26490066225165565,3.5761589403973506
106,106,윤명준,1.53,,0.2722222222222222,0.022222222222222227,0.5,0.3,4.95
107,107,이승진,1.5,0.3333333333333333,0.2412280701754386,0.013157894736842105,1.0567514677103718,0.4305283757338552,5.6360078277886485
108,108,김정빈,1.73,0.5,0.16371681415929204,0.02212389380530973,0.89171974522293,0.9554140127388536,5.159235668789809
109,109,박진형,1.62,0.2,0.28865979381443296,0.03608247422680412,1.1848341232227488,0.30805687203791465,5.758293838862558
110,110,서균,1.77,,0.2058823529411765,0.0,0.14084507042253522,0.8450704225352114,0.0
111,111,노성호,1.57,0.4,0.1686746987951807,0.018072289156626502,0.9418282548476454,0.8033240997229917,4.487534626038782
112,112,문동욱,1.61,0.0,0.14457831325301204,0.024096385542168683,0.5,0.9444444444444444,4.5
113,113,장필준,1.72,0.0,0.27058823529411763,0.035294117647058816,0.7222222222222222,0.4444444444444444,5.75
114,114,김진욱,1.68,0.42857142857142855,0.2427184466019417,0.043689320388349516,0.6561085972850679,0.5656108597285068,5.701357466063348
115,115,김종수,1.6,0.5,0.2368421052631579,0.02631578947368421,0.86,0.52,5.94
116,116,문성현,1.6,0.5,0.20634920634920634,0.015873015873015872,0.8666666666666667,0.7333333333333333,4.2
117,117,샘슨,1.56,0.42857142857142855,0.2830508474576271,0.023728813559322038,0.6692307692307692,0.2769230769230769,5.4
118,118,양창섭,1.35,,0.20689655172413796,0.03448275862068965,0.6451612903225806,0.4838709677419354,2.9032258064516134
