순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
1,로하스,20KRF,7.62,140,618,542,114,189,39,1,46,368,132,0,1,63,5,5,130,10,0,8,.349,.416,.679,1.095,.466,180.3,7.62,7.22
2,김하성,20키SS,6.81,136,612,525,110,161,24,1,29,274,105,23,2,74,8,3,68,12,2,3,.307,.398,.522,.920,.408,147.7,6.81,3.89
3,양의지,20NC,6.09,128,522,455,86,151,26,1,33,278,124,5,2,46,14,7,46,11,1,6,.332,.405,.611,1.016,.437,156.8,6.09,3.81
4,터커,20KRF,5.71,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,.306,.398,.557,.955,.419,149.0,5.71,2.40
5,최형우,20KDH,5.71,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,.354,.433,.590,1.023,.450,168.6,5.71,7.20
6,이정후,20키RF,5.68,138,607,536,84,179,48,5,15,282,100,12,2,58,4,5,47,16,2,7,.334,.398,.526,.925,.408,145.2,5.68,3.98
7,김현수,20LLF,5.24,140,610,538,97,178,34,2,22,282,117,0,2,63,2,7,53,9,0,7,.331,.398,.524,.923,.408,148.8,5.24,5.06
8,황재균,20K3B,5.06,132,591,535,105,166,34,5,21,273,95,11,6,47,4,0,98,12,2,3,.310,.368,.510,.879,.390,129.3,5.06,3.56
9,나성범,20NDH,4.94,128,576,519,114,168,36,2,33,307,107,3,1,47,9,2,147,6,0,1,.324,.389,.592,.980,.428,150.9,4.94,3.86
10,손아섭,20롯RF,4.93,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,.352,.415,.493,.907,.409,140.0,4.93,4.57
11,최정,20S3B,4.77,131,544,444,89,119,22,0,32,237,93,8,3,75,19,1,97,7,0,6,.268,.392,.534,.925,.408,137.6,4.77,4.57
12,강백호,20K1B,4.69,127,565,492,92,162,36,1,23,269,88,7,2,65,5,9,92,7,0,3,.329,.411,.547,.957,.421,149.7,4.69,3.21
13,박민우,20N2B,4.48,124,523,461,81,160,27,5,8,221,62,13,6,36,15,2,48,12,2,9,.347,.405,.479,.884,.399,133.8,4.48,1.47
14,김재환,20두LF,4.44,138,603,507,80,133,25,1,29,247,109,6,0,89,1,3,151,14,0,6,.262,.370,.487,.857,.380,132.5,4.44,2.06
